case,t,roll_deg,pitch_deg,yaw_deg
A_LOCK,0.0,0.00040273064541673786,8.77052460197536e-05,0.0006168949891498382
A_LOCK,0.1,0.0008064232980242725,0.00017385684394743972,0.0012344995833040162
A_LOCK,0.2,0.001213837670593576,0.00025828676731270983,0.0018520547830194953
A_LOCK,0.30000000000000004,0.0016306384712356792,0.00033948568921071676,0.0024676953419901573
A_LOCK,0.4,0.002067675502055666,0.0004135930289060341,0.003079274960729933
A_LOCK,0.5,0.002519726409599743,0.00048127325515368025,0.003692568111047151
A_LOCK,0.6,0.0029696214404848487,0.0005465513574231529,0.004315388702973745
A_LOCK,0.7,0.0034171174481556488,0.0006090508021772689,0.004948109392876189
A_LOCK,0.7999999999999999,0.003861785482204838,0.0006686611836445588,0.005591116270339765
A_LOCK,0.8999999999999999,0.004303147857435685,0.0007254193456684987,0.006244668536354386
A_LOCK,0.9999999999999999,0.004740785279523263,0.0007793413832725693,0.0069086911252533995
A_LOCK,1.0999999999999999,0.005174338026155634,0.0008303959327247146,0.007582918969935036
A_LOCK,1.2,0.005603474795452423,0.0008785634354904759,0.008267103152322021
A_LOCK,1.3,0.006027893577268073,0.0009238661961489258,0.008961039815789905
A_LOCK,1.4000000000000001,0.0064473468909905796,0.0009663515492298602,0.009664493262217327
A_LOCK,1.5000000000000002,0.006861657588574266,0.001006072348245568,0.01037715821303746
A_LOCK,1.6000000000000003,0.007270716727320159,0.0010430879300178386,0.011098683779313195
A_LOCK,1.7000000000000004,0.007674476480853065,0.0010774732284550836,0.011828701663572555
A_LOCK,1.8000000000000005,0.0080729471860852,0.0011093209407303517,0.01256682795984091
A_LOCK,1.9000000000000006,0.008466196344594001,0.0011387370853511158,0.013312654052028132
A_LOCK,2.0000000000000004,0.008854345092233595,0.0011658371210361285,0.014065746148267493
A_LOCK,2.1000000000000005,0.009237561958578167,0.0011907451283350023,0.014825653151937825
A_LOCK,2.2000000000000006,0.00961605627623896,0.0012135937261344987,0.015591913612853413
A_LOCK,2.3000000000000007,0.009990072459878152,0.001234522801757565,0.016364058457823294
A_LOCK,2.400000000000001,0.010359884736788061,0.0012536774918537885,0.01714161248919082
A_LOCK,2.500000000000001,0.010725791796529438,0.0012712064974494952,0.017924097174105088
A_LOCK,2.600000000000001,0.011088111495483388,0.0012872609503786214,0.01871103420227302
A_LOCK,2.700000000000001,0.011447176005746962,0.0013019934305446013,0.019501948430614677
A_LOCK,2.800000000000001,0.011803327547886044,0.0013155569034128956,0.020296369943822272
A_LOCK,2.9000000000000012,0.012156914613554615,0.001328103686607296,0.021093835766567808
A_LOCK,3.0000000000000013,0.012508288593681915,0.0013397845929023489,0.021893891549908267
A_LOCK,3.1000000000000014,0.012857800822073773,0.0013507482502017054,0.02269609311296366
A_LOCK,3.2000000000000015,0.013205800060591466,0.0013611405257331066,0.02350000766588129
A_LOCK,3.3000000000000016,0.013552630404967014,0.0013711040208624903,0.02430521472738164
A_LOCK,3.4000000000000017,0.01389862955929777,0.0013807776493711676,0.02511130684488223
A_LOCK,3.5000000000000018,0.01424412743368364,0.0013902963097736643,0.02591789017376754
A_LOCK,3.600000000000002,0.014589445033922566,0.0013997906396234217,0.026724584910291713
A_LOCK,3.700000000000002,0.01493489361385647,0.0014093868326240377,0.027531025573410875
A_LOCK,3.800000000000002,0.015280774055554502,0.0014192065075075422,0.028336861158654355
A_LOCK,3.900000000000002,0.015627376441402108,0.0014293666243005987,0.02914175519528424
A_LOCK,4.000000000000002,0.01597497978653728,0.0014399794428764379,0.029945385726382803
A_LOCK,4.100000000000001,0.01632385190488783,0.0014511525160277317,0.030747445221742317
A_LOCK,4.200000000000001,0.01667424938472828,0.0014629887094965155,0.031547640433399034
A_LOCK,4.300000000000001,0.017026417651586523,0.0014755862434246425,0.03234569220627972
A_LOCK,4.4,0.017380591098832943,0.0014890387511571346,0.03314133525558463
A_LOCK,4.5,0.01773699326938971,0.0015034353516328869,0.03393431791931724
A_LOCK,4.6,0.018095837074799337,0.0015188607317822567,0.03472440189203178
A_LOCK,4.699999999999999,0.01845732504017561,0.001535395235893522,0.035511361945081206
A_LOCK,4.799999999999999,0.018821649565515797,0.0015531149596574312,0.03629498563815789
A_LOCK,4.899999999999999,0.01918899319572509,0.0015720918471270329,0.037075073025977484
A_LOCK,4.999999999999998,0.01955952889344037,0.0015923937891672013,0.03785143636285768
A_LOCK,5.099999999999998,0.01993342031016665,0.0016140847222436694,0.03862389980714068
A_LOCK,5.1999999999999975,0.02031082205247625,0.0016372247267151252,0.039392299126915775
A_LOCK,5.299999999999997,0.02069187994100874,0.0016618701240470601,0.04015648140810297
A_LOCK,5.399999999999997,0.021076731260826875,0.0016880735725983698,0.04091630476556201
A_LOCK,5.4999999999999964,0.021465505002399854,0.0017158841617591625,0.041671638057553036
A_LOCK,5.599999999999996,0.021858322092996763,0.0017453475043370248,0.04242236060363636
A_LOCK,5.699999999999996,0.022255295618681226,0.001776505827200292,0.043168361905949644
A_LOCK,5.799999999999995,0.022656531037390515,0.0018093980602428839,0.04390954137369485
A_LOCK,5.899999999999995,0.023062126383784687,0.001844059923792274,0.04464580805059237
A_LOCK,5.999999999999995,0.023472172466687424,0.0018805240146101965,0.045377080345017494
A_LOCK,6.099999999999994,0.023886753059998767,0.0019188198906420206,0.04610328576252115
A_LOCK,6.199999999999994,0.024305945087985448,0.0019589741546821027,0.046824360640450036
A_LOCK,6.299999999999994,0.024729818805827586,0.0020010105371143783,0.04754024988440861
A_LOCK,6.399999999999993,0.025158437976267045,0.002044949977875188,0.048250906706338616
A_LOCK,6.499999999999993,0.02559186004310665,0.0020908107077703963,0.04895629236403447
A_LOCK,6.5999999999999925,0.026030136302263585,0.002138608329255498,0.049656375901960426
A_LOCK,6.699999999999992,0.026473312070957822,0.0021883558967763506,0.0503511338932815
A_LOCK,6.799999999999992,0.02692142685555199,0.0022400639967325997,0.05104055018306633
A_LOCK,6.8999999999999915,0.027374514518446302,0.0022937408271204163,0.05172461563266482
A_LOCK,6.999999999999991,0.027832603444360227,0.0023493922768807463,0.052403327865302565
A_LOCK,7.099999999999991,0.02829571670623887,0.0024070220049622337,0.05307669101297119
