k,t_s,T_kinetic_J
0,0.000000,0.000000e+00
1,0.010000,2.125418e-15
2,0.020000,7.064903e-15
3,0.030000,5.089545e-15
4,0.040000,2.906318e-14
5,0.050000,8.346531e-14
6,0.060000,4.069619e-13
7,0.070000,1.732506e-12
8,0.080000,7.796876e-12
9,0.090000,3.474467e-11
10,0.100000,1.555737e-10
