t_M7,tau_M7,v_mag_M7,a_mag_M7,t_preM7,tau_preM7,v_mag_preM7,a_mag_preM7
0.0,0.0,0.0,0.007160143185824549,0.0,0.0,0.0,0.016449340668482262
0.009094202999999967,0.0009999999999999963,6.516861039572131e-05,0.007183345322451756,0.006000000000000005,0.0010000000000000009,9.877609536110041e-05,0.01650264405079076
0.018188406000000046,0.002000000000000005,0.00013065189886307164,0.007251952657798761,0.01200000000000001,0.0020000000000000018,0.00019802914843270684,0.01666025897582661
0.027282609000000013,0.0030000000000000014,0.00019675739328675054,0.007363883769948601,0.018000000000000016,0.0030000000000000027,0.00029822527938342465,0.016917403693099856
0.03637681199999998,0.0039999999999999975,0.0002637827816247153,0.0075164145051690836,0.02400000000000002,0.0040000000000000036,0.00039981569399997254,0.017267819873466626
0.04547101499999995,0.004999999999999994,0.00033201391752855626,0.00770637182172562,0.030000000000000027,0.0050000000000000044,0.0005032336608049925,0.017704217935825963
0.054565218000000026,0.006000000000000003,0.0004017231422841656,0.007930332130258178,0.03600000000000003,0.006000000000000005,0.0006088919676216814,0.01821873270398924
0.063659421,0.006999999999999999,0.0004731679524709876,0.008184799206613138,0.04200000000000004,0.007000000000000006,0.0007171809021442528,0.018803332134369685
0.07275362399999996,0.007999999999999995,0.0005465900236947044,0.00846634682003711,0.04800000000000004,0.008000000000000007,0.0008284667722090768,0.019450144982578917
0.08184782700000004,0.009000000000000005,0.0006222145833331998,0.008771721158515426,0.05400000000000005,0.009000000000000008,0.000943090955065423,0.020151696110074103
0.09094203000000001,0.01,0.0007002501106633632,0.009097905465715282,0.06000000000000005,0.010000000000000009,0.001061369442857516,0.02090105497771042
0.10003623299999997,0.010999999999999998,0.0007808883317189847,0.009442153367488947,0.06600000000000006,0.01100000000000001,0.0011835928348306326,0.021691912208316646
0.10913043600000005,0.012000000000000005,0.0008643044689873286,0.009801998697331487,0.07200000000000006,0.01200000000000001,0.001310026715796329,0.022518602159190944
0.11822463900000002,0.013000000000000001,0.0009506577023913213,0.010175249204762886,0.07799999999999996,0.012999999999999992,0.0014409123548433757,0.023376088468065066
0.127318842,0.013999999999999999,0.0010400917974397474,0.010559970251583247,0.08399999999999996,0.013999999999999993,0.001576467657425323,0.024259926597728736
0.13641304500000007,0.015000000000000006,0.0011327358583090264,0.010954463095890047,0.08999999999999997,0.014999999999999994,0.001716888306806919,0.025166213946859976
0.14550724800000003,0.016000000000000004,0.001228705167246762,0.011357240979769817,0.09599999999999997,0.015999999999999997,0.0018623490363485003,0.02609153491513134
0.154601451,0.017,0.001328102076396127,0.011767005116374667,0.10199999999999998,0.016999999999999998,0.002013004981244647,0.027032905737167975
0.16369565399999997,0.017999999999999995,0.0014310169233615734,0.012182621837942848,0.10799999999999998,0.018,0.002168993066247599,0.02798772198359832
0.17278985700000005,0.019000000000000003,0.001537528947121224,0.012603101583217721,0.11399999999999999,0.019,0.002330433393916112,0.028953710287842892
