k,t_s,T_kinetic_J
0,0.000000,0.000000e+00
1,0.010000,2.075780e-15
2,0.020000,7.881384e-15
3,0.030000,8.035476e-15
4,0.040000,6.267382e-14
5,0.050000,2.799851e-13
6,0.060000,1.735500e-12
7,0.070000,1.005280e-11
8,0.080000,5.995146e-11
9,0.090000,3.570500e-10
10,0.100000,2.133943e-09
