metric,value,threshold,status
torso_pos_err_peak_mm,42.671150,10.000000,FAIL
torso_ori_err_peak_deg,5.448778,5.000000,FAIL
ee_pos_err_at_dock_mm,0.174220,5.000000,PASS
ee_ori_err_at_dock_deg,0.015426,5.000000,PASS
com_tracking_err_rms_mm,254.169284,15.000000,FAIL
hw_saturation_ratio_peak,0.119023,1.000000,PASS
hw_saturation_ratio_rms,0.040380,0.700000,PASS
platform_rotation_total_deg,0.234194,5.000000,PASS
platform_omega_peak_deg_s,0.043986,2.000000,PASS
tau_w_peak_ratio,0.280096,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.996139,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,1.166119,5.000000,PASS
torso_ori_peak_deg_DS,5.448778,5.000000,FAIL
torso_ori_peak_deg_global,5.448778,5.000000,FAIL
torso_pos_peak_mm_SS,42.643021,10.000000,FAIL
torso_pos_peak_mm_DS,42.671150,10.000000,FAIL
torso_pos_peak_mm_global,42.671150,10.000000,FAIL
ee_pos_peak_mm_SS,26.792237,5.000000,FAIL
ee_pos_peak_mm_DS,0.174220,5.000000,PASS
ee_pos_peak_mm_global,26.792237,5.000000,FAIL
ee_ori_peak_deg_SS,0.965263,5.000000,PASS
ee_ori_peak_deg_DS,0.067512,5.000000,PASS
ee_ori_peak_deg_global,0.965263,5.000000,PASS
hw_sat_peak_SS,0.119023,1.000000,PASS
hw_sat_peak_DS,0.016853,1.000000,PASS
hw_sat_peak_global,0.119023,1.000000,PASS
tau_peak_Nm_SS,1.097120,20.000000,PASS
tau_peak_Nm_DS,8.849664,20.000000,PASS
tau_peak_Nm_global,8.849664,20.000000,PASS
tau_w_peak_ratio_SS,0.280096,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,0.280096,1.000000,PASS
ss_end_torso_ori_deg,0.999642,,INFO
ds_entry_torso_ori_deg,1.015196,,INFO
q_torso_ref_ss_to_ds_jump_deg,0.000000,,INFO
