k,t_s,T_full_J,T_jj_J,dq_dot_tau_W,alpha_times_T_jj_W,passivity_lhs_W,constraint_slack_W,tau_max_Nm
35,0.350000,1.808035e-01,1.861451e-01,-1.094487e+02,1.861451e-01,-1.090764e+02,1.090764e+02,2.000000e+01
36,0.360000,1.711870e-01,1.774567e-01,-9.694607e+01,1.774567e-01,-9.659116e+01,9.659116e+01,2.000000e+01
37,0.370000,1.731502e-01,1.754405e-01,-1.033465e+02,1.754405e-01,-1.029956e+02,1.029956e+02,2.000000e+01
38,0.380000,1.718749e-01,1.774236e-01,-9.713124e+01,1.774236e-01,-9.677639e+01,9.677639e+01,2.000000e+01
39,0.390000,1.722974e-01,1.714933e-01,-1.028191e+02,1.714933e-01,-1.024761e+02,1.024761e+02,2.000000e+01
40,0.400000,1.764155e-01,1.828053e-01,-9.804423e+01,1.828053e-01,-9.767861e+01,9.767861e+01,2.000000e+01
41,0.410000,1.717313e-01,1.668439e-01,-1.030830e+02,1.668439e-01,-1.027493e+02,1.027493e+02,2.000000e+01
42,0.420000,1.828967e-01,1.907615e-01,-9.922150e+01,1.907615e-01,-9.883997e+01,9.883997e+01,2.000000e+01
43,0.430000,1.713134e-01,1.622063e-01,-1.033572e+02,1.622063e-01,-1.030328e+02,1.030328e+02,2.000000e+01
44,0.440000,1.901524e-01,1.996058e-01,-1.003610e+02,1.996058e-01,-9.996175e+01,9.996175e+01,2.000000e+01
45,0.450000,1.715063e-01,1.585469e-01,-1.035648e+02,1.585469e-01,-1.032477e+02,1.032477e+02,2.000000e+01
46,0.460000,1.975439e-01,2.083767e-01,-1.012808e+02,2.083767e-01,-1.008640e+02,1.008640e+02,2.000000e+01
47,0.470000,1.725253e-01,1.563060e-01,-1.037140e+02,1.563060e-01,-1.034013e+02,1.034013e+02,2.000000e+01
48,0.480000,2.045739e-01,2.163191e-01,-1.018787e+02,2.163191e-01,-1.014460e+02,1.014460e+02,2.000000e+01
49,0.490000,1.745285e-01,1.557261e-01,-1.040436e+02,1.557261e-01,-1.037321e+02,1.037321e+02,2.000000e+01
