k,t_s,T_full_J,T_jj_J,dq_dot_tau_W,alpha_times_T_jj_W,passivity_lhs_W,constraint_slack_W,tau_max_Nm
0,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,8.948398e-14
1,0.010000,1.892960e-15,2.211218e-15,-7.670522e-13,2.211218e-15,-7.626297e-13,7.626297e-13,4.946313e-06
2,0.020000,1.303927e-14,1.506256e-14,-8.103136e-12,1.506256e-14,-8.073011e-12,8.073011e-12,1.447197e-05
3,0.030000,7.419689e-14,7.103476e-14,-1.264234e-10,7.103476e-14,-1.262813e-10,1.262813e-10,6.049138e-05
4,0.040000,1.416091e-12,1.438518e-12,-1.989754e-09,1.438518e-12,-1.986877e-09,1.986877e-09,2.348757e-04
5,0.050000,2.166954e-11,2.184100e-11,-3.137551e-08,2.184100e-11,-3.133183e-08,3.133183e-08,9.201400e-04
6,0.060000,3.519164e-10,3.555370e-10,-4.984623e-07,3.555370e-10,-4.977512e-07,4.977512e-07,3.587173e-03
7,0.070000,5.713511e-09,5.779288e-09,-7.997925e-06,5.779288e-09,-7.986366e-06,7.986366e-06,1.392526e-02
8,0.080000,9.408891e-08,9.532275e-08,-1.304373e-04,9.532275e-08,-1.302467e-04,1.302467e-04,5.918096e-02
9,0.090000,1.574943e-06,1.598736e-06,-2.180329e-03,1.598736e-06,-2.177132e-03,2.177132e-03,2.551880e-01
10,0.100000,2.694058e-05,2.741097e-05,-3.775910e-02,2.741097e-05,-3.770428e-02,3.770428e-02,1.115713e+00
11,0.110000,4.735127e-04,4.830131e-04,-6.742412e-01,4.830131e-04,-6.732752e-01,6.732752e-01,4.733025e+00
12,0.120000,8.042858e-03,8.188236e-03,-1.049432e+01,8.188236e-03,-1.047794e+01,1.047794e+01,1.871772e+01
13,0.130000,9.250138e-02,9.008529e-02,-6.496964e+01,9.008529e-02,-6.478947e+01,6.478947e+01,2.000000e+01
14,0.140000,1.919251e-01,2.105141e-01,-1.112086e+02,2.105141e-01,-1.107876e+02,1.107876e+02,2.000000e+01
15,0.150000,1.466731e-01,1.480598e-01,-8.794959e+01,1.480598e-01,-8.765347e+01,8.765347e+01,2.000000e+01
16,0.160000,2.272712e-01,2.563628e-01,-1.084093e+02,2.563628e-01,-1.078966e+02,1.078966e+02,2.000000e+01
17,0.170000,1.597345e-01,1.588346e-01,-9.999473e+01,1.588346e-01,-9.967706e+01,9.967706e+01,2.000000e+01
18,0.180000,2.229648e-01,2.546670e-01,-1.082614e+02,2.546670e-01,-1.077521e+02,1.077521e+02,2.000000e+01
19,0.190000,1.667372e-01,1.662299e-01,-1.018311e+02,1.662299e-01,-1.014986e+02,1.014986e+02,2.000000e+01
20,0.200000,2.099517e-01,2.392729e-01,-1.045211e+02,2.392729e-01,-1.040425e+02,1.040425e+02,2.000000e+01
21,0.210000,1.732373e-01,1.745503e-01,-1.020744e+02,1.745503e-01,-1.017253e+02,1.017253e+02,2.000000e+01
22,0.220000,1.965555e-01,2.215842e-01,-1.012230e+02,2.215842e-01,-1.007798e+02,1.007798e+02,2.000000e+01
23,0.230000,1.778963e-01,1.815249e-01,-1.021810e+02,1.815249e-01,-1.018180e+02,1.018180e+02,2.000000e+01
24,0.240000,1.841001e-01,2.040759e-01,-9.856281e+01,2.040759e-01,-9.815466e+01,9.815466e+01,2.000000e+01
25,0.250000,1.804536e-01,1.864613e-01,-1.024621e+02,1.864613e-01,-1.020892e+02,1.020892e+02,2.000000e+01
26,0.260000,1.748241e-01,1.901716e-01,-9.686464e+01,1.901716e-01,-9.648430e+01,9.648430e+01,2.000000e+01
27,0.270000,1.810155e-01,1.889580e-01,-1.027305e+02,1.889580e-01,-1.023526e+02,1.023526e+02,2.000000e+01
28,0.280000,1.688022e-01,1.805591e-01,-9.589552e+01,1.805591e-01,-9.553440e+01,9.553440e+01,2.000000e+01
29,0.290000,1.801926e-01,1.892262e-01,-1.028577e+02,1.892262e-01,-1.024792e+02,1.024792e+02,2.000000e+01
30,0.300000,1.654538e-01,1.747109e-01,-9.544524e+01,1.747109e-01,-9.509582e+01,9.509582e+01,2.000000e+01
31,0.310000,1.786630e-01,1.876298e-01,-1.028527e+02,1.876298e-01,-1.024774e+02,1.024774e+02,2.000000e+01
32,0.320000,1.647517e-01,1.723858e-01,-9.595614e+01,1.723858e-01,-9.561137e+01,9.561137e+01,2.000000e+01
33,0.330000,1.775423e-01,1.851517e-01,-1.032478e+02,1.851517e-01,-1.028775e+02,1.028775e+02,2.000000e+01
34,0.340000,1.666735e-01,1.734905e-01,-9.762821e+01,1.734905e-01,-9.728123e+01,9.728123e+01,2.000000e+01
