k,t_s,T_kinetic_J
0,0.000000,0.000000e+00
1,0.010000,2.169836e-15
2,0.020000,6.508032e-15
3,0.030000,3.875949e-15
4,0.040000,1.578650e-14
5,0.050000,2.851740e-14
6,0.060000,1.144091e-13
7,0.070000,3.623907e-13
8,0.080000,1.279444e-12
9,0.090000,4.404123e-12
10,0.100000,1.529910e-11
