metric,value,threshold,status
torso_pos_err_peak_mm,1155.316810,10.000000,FAIL
torso_ori_err_peak_deg,179.675614,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,158.565495,15.000000,FAIL
hw_saturation_ratio_peak,1.162708,1.000000,FAIL
hw_saturation_ratio_rms,0.758425,0.700000,FAIL
platform_rotation_total_deg,33.334167,5.000000,FAIL
platform_omega_peak_deg_s,4.130381,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.731629,0.950000,FAIL
nmpc_infeasibility_rate,0.111821,0.020000,FAIL
