tick,phase,alpha,kp_shape,er_x,er_y,er_z,er_norm,er_sum,er_par_norm,er_perp_norm,perp_frac,ev_x,ev_y,ev_z,ev_norm,aff_norm,fb_app_x,fb_app_y,fb_app_z,fb_app_norm,fb_diag_x,fb_diag_y,fb_diag_z,fb_diag_norm,fb_delta_norm,eta_fb,ades_norm,achieved_norm,resid_norm,delivered_frac
6437,SS,400.0,3x3,4.329220757e-05,1.816884247e-04,4.808823005e-06,1.868368906e-04,2.297894553e-04,1.326690039e-04,1.315559162e-04,0.704122,-3.454177333e-04,-2.557378002e-04,1.098169208e-04,4.435932698e-04,6.705911522e-03,-7.846474722e-04,-7.846474722e-04,-7.846474722e-04,1.359049288e-03,-9.063765772e-04,-2.221481264e-04,3.438772314e-04,9.945450417e-04,1.266803653e-03,0.168513,7.080589255e-03,3.539559491e-03,5.681031916e-03,0.303074
6438,SS,400.0,3x3,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.416823640e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,4.416823640e-03,2.816005233e-03,3.827566444e-03,0.327756
6439,SS,400.0,3x3,5.416778401e-06,2.110127926e-05,1.312094405e-06,2.182491848e-05,2.783015207e-05,1.606774579e-05,1.477005795e-05,0.676752,-2.684587644e-05,-4.285250742e-05,1.158590929e-06,5.058043898e-05,4.416823640e-03,-1.221289226e-04,-1.221289226e-04,-1.221289226e-04,2.115334990e-04,-6.428729411e-05,-6.525368448e-05,7.412056000e-06,9.190124099e-05,1.528440768e-04,0.045704,4.436002337e-03,2.755829468e-03,3.974661934e-03,0.291562
6440,SS,400.0,3x3,1.091043984e-05,4.191538602e-05,2.371490217e-06,4.337696680e-05,5.519731608e-05,3.186818530e-05,2.942753837e-05,0.678414,-4.917354620e-05,-7.200667378e-05,1.331462662e-05,8.820588414e-05,4.416823640e-03,-1.580048318e-04,-1.580048318e-04,-1.580048318e-04,2.736723966e-04,-1.147893191e-04,-9.027386328e-05,4.705835051e-05,1.534289624e-04,2.202407169e-04,0.058346,4.443534373e-03,2.716590042e-03,4.050384059e-03,0.271442
6441,SS,400.0,3x3,1.648140463e-05,6.251120430e-05,3.226663386e-06,6.472788208e-05,8.221927232e-05,4.746931900e-05,4.400411881e-05,0.679833,-7.452735495e-05,-1.013686487e-04,2.415750872e-05,1.281152404e-04,4.416823640e-03,-2.085576680e-04,-2.085576680e-04,-2.085576680e-04,3.612324772e-04,-1.741378510e-04,-1.165723333e-04,8.215251631e-05,2.250825093e-04,3.068524676e-04,0.075602,4.455597329e-03,2.675547456e-03,4.143699765e-03,0.247846
6442,SS,400.0,3x3,2.210382274e-05,8.289233620e-05,3.873343400e-06,8.587619676e-05,1.088695023e-04,6.285583648e-05,5.851380170e-05,0.681374,-1.019524406e-04,-1.294736186e-04,3.544379882e-05,1.685644711e-04,4.416823640e-03,-2.613382740e-04,-2.613382740e-04,-2.613382740e-04,4.526511685e-04,-2.395458535e-04,-1.397438471e-04,1.179514267e-04,3.013687074e-04,3.988994751e-04,0.092957,4.469987707e-03,2.636195357e-03,4.242993014e-03,0.223398
6443,SS,400.0,3x3,2.775619510e-05,1.030690522e-04,4.314933683e-06,1.068281543e-04,1.351401810e-04,7.802321988e-05,7.297007403e-05,0.683060,-1.314014908e-04,-1.565467275e-04,4.695678129e-05,2.097097255e-04,4.416823640e-03,-3.175537680e-04,-3.175537680e-04,-3.175537680e-04,5.500192604e-04,-3.109358870e-04,-1.604330260e-04,1.538151449e-04,3.822028002e-04,4.969098269e-04,0.110738,4.487312482e-03,2.598659368e-03,4.349316511e-03,0.197965
6444,SS,400.0,3x3,3.341839242e-05,1.230501717e-04,4.553870459e-06,1.275886807e-04,1.610224346e-04,9.296634596e-05,8.738495275e-05,0.684896,-1.626759760e-04,-1.826564762e-04,5.872230198e-05,2.515455629e-04,4.416823640e-03,-3.767631470e-04,-3.767631470e-04,-3.767631470e-04,6.525729130e-04,-3.877727507e-04,-1.788189135e-04,1.898285173e-04,4.673101497e-04,6.002743081e-04,0.128728,4.507762623e-03,2.563358052e-03,4.462089637e-03,0.171765
6445,SS,400.0,3x3,3.907234369e-05,1.428437436e-04,4.592578698e-06,1.481623262e-04,1.865086660e-04,1.076808285e-04,1.017689249e-04,0.686875,-1.955741912e-04,-2.078977962e-04,7.071429938e-05,2.940599769e-04,4.416823640e-03,-4.387470659e-04,-4.387470659e-04,-4.387470659e-04,7.599322098e-04,-4.695055424e-04,-1.951621577e-04,2.259206342e-04,5.563846288e-04,7.085639300e-04,0.146797,4.531559380e-03,2.530596005e-03,4.580924918e-03,0.144974
6446,SS,400.0,3x3,4.470206946e-05,1.624568895e-04,4.433204636e-06,1.685531645e-04,2.115921635e-04,1.221627926e-04,1.161310525e-04,0.688988,-2.298923265e-04,-2.323671426e-04,8.290453355e-05,3.372211921e-04,4.416823640e-03,-5.032883160e-04,-5.032883160e-04,-5.032883160e-04,8.717209342e-04,-5.555707710e-04,-2.097307596e-04,2.620132146e-04,6.490737999e-04,8.213378883e-04,0.164832,4.558893518e-03,2.500635852e-03,4.705418210e-03,0.117779
6447,SS,400.0,3x3,5.029363519e-05,1.818957971e-04,4.077588413e-06,1.887648205e-04,2.362670207e-04,1.364088280e-04,1.304790754e-04,0.691226,-2.654371954e-04,-2.561595723e-04,9.526108127e-05,3.809846517e-04,4.416823640e-03,-5.702059972e-04,-5.702059972e-04,-5.702059972e-04,9.876257579e-04,-6.454306806e-04,-2.227913257e-04,2.980160090e-04,7.450035435e-04,9.381711779e-04,0.182743,4.589937873e-03,2.473700517e-03,4.835194484e-03,0.090367
