t_s,phase,step_index,Hdot_s_realized_cont_x_Nm,Hdot_s_realized_cont_y_Nm,Hdot_s_realized_cont_z_Nm,Hdot_s_realized_norm_Nm,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,d_grip_swing_mm
0.0100,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.590394e-15,3.105849e-15,1.265654e-15,-2.282686e-16,-3.638611e-17,-9.298624e-16,1.461351e-14,3.295213e-15,6.009005e-14,0.0000
0.0200,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.831081e-09,-9.806017e-10,1.185913e-09,2.915433e-11,-4.902865e-12,5.927865e-12,4.845668e-14,6.193643e-15,2.064654e-13,0.0000
0.0300,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.124860e-09,-2.293031e-09,5.439491e-09,5.477645e-11,-1.636745e-11,3.312395e-11,9.388154e-14,3.409157e-15,4.095888e-13,0.0000
0.0400,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.217267e-09,-1.372845e-09,6.561142e-09,7.085957e-11,-2.323065e-11,6.592694e-11,1.487020e-13,-3.763092e-15,6.486154e-13,0.0000
0.0500,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.428420e-09,-7.339175e-10,7.453261e-09,7.799791e-11,-2.689896e-11,1.031889e-10,2.098013e-13,-1.396975e-14,9.093046e-13,0.0000
0.0600,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.003251e-10,-1.986965e-10,7.699067e-09,7.849563e-11,-2.789107e-11,1.416780e-10,2.729723e-13,-2.543204e-14,1.182209e-12,0.0000
0.0700,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.761174e-10,1.008297e-11,7.774096e-09,7.461125e-11,-2.783927e-11,1.805404e-10,3.337283e-13,-3.671115e-14,1.460949e-12,0.0000
0.0800,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.306026e-09,1.539927e-11,7.665825e-09,6.807763e-11,-2.776090e-11,2.188595e-10,3.880033e-13,-4.682596e-14,1.741126e-12,0.0000
0.0900,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.579956e-09,-1.268782e-10,7.449368e-09,6.017474e-11,-2.839390e-11,2.560945e-10,4.325853e-13,-5.528531e-14,2.019592e-12,0.0000
0.1000,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.684725e-09,-3.409507e-10,7.129638e-09,5.174843e-11,-3.009720e-11,2.917291e-10,4.652625e-13,-6.208542e-14,2.294009e-12,0.0000
0.1100,SS,0,8.320767e-02,-9.300186e-01,4.795115e-01,1.049662e+00,-1.424144e-01,1.165593e+00,-2.842052e-01,-3.047785e-03,3.323630e-02,-2.568678e-02,-1.954668e-05,6.591305e-05,-5.872598e-05,799.5962
0.2100,SS,0,9.296357e-02,-1.163524e+00,5.709421e-01,1.299387e+00,-1.111855e-01,1.149814e+00,-5.882722e-01,-9.102902e-03,8.582338e-02,-4.917707e-02,-1.113380e-04,3.609693e-04,-1.903269e-04,797.4333
0.3100,SS,0,1.296740e-01,-1.346481e+00,6.825628e-01,1.515163e+00,-1.549436e-01,1.371833e+00,-6.955722e-01,-1.537112e-02,1.447104e-01,-8.233960e-02,-2.592710e-04,9.000744e-04,-4.308899e-04,792.1387
0.4100,SS,0,1.884530e-01,-1.448294e+00,7.734685e-01,1.652672e+00,-2.347627e-01,1.494615e+00,-7.829086e-01,-2.510074e-02,2.121416e-01,-1.185136e-01,-4.786950e-04,1.719067e-03,-7.931706e-04,782.5628
0.5100,SS,0,2.806672e-01,-1.427467e+00,7.672661e-01,1.644729e+00,-3.460115e-01,1.461814e+00,-8.042575e-01,-3.943882e-02,2.810422e-01,-1.551385e-01,-7.987148e-04,2.829243e-03,-1.279168e-03,767.8663
0.6100,SS,0,3.987215e-01,-1.333151e+00,7.344769e-01,1.573444e+00,-4.844814e-01,1.377043e+00,-7.925662e-01,-5.982508e-02,3.475475e-01,-1.914392e-01,-1.260016e-03,4.214943e-03,-1.883004e-03,747.5333
0.7100,SS,0,5.226673e-01,-1.193828e+00,6.978540e-01,1.478312e+00,-6.230310e-01,1.252530e+00,-7.794922e-01,-8.681430e-02,4.096154e-01,-2.269860e-01,-1.912220e-03,5.849301e-03,-2.594352e-03,721.3556
0.8100,SS,0,6.408081e-01,-1.029166e+00,6.672356e-01,1.383843e+00,-7.524017e-01,1.100438e+00,-7.730768e-01,-1.202460e-01,4.656366e-01,-2.620229e-01,-2.804802e-03,7.697754e-03,-3.402871e-03,689.4110
0.9100,SS,0,7.351593e-01,-8.614878e-01,6.587335e-01,1.310172e+00,-8.515308e-01,9.452573e-01,-7.858223e-01,-1.592300e-01,5.149444e-01,-2.972515e-01,-3.982188e-03,9.721847e-03,-4.300475e-03,652.0344
1.0100,SS,0,7.911641e-01,-7.097054e-01,6.884448e-01,1.266325e+00,-9.041798e-01,8.057393e-01,-8.322689e-01,-2.020159e-01,5.578603e-01,-3.340990e-01,-5.476110e-03,1.188450e-02,-5.284455e-03,609.7831
1.1100,SS,0,7.986507e-01,-5.821990e-01,7.622412e-01,1.248123e+00,-8.996152e-01,6.883726e-01,-9.183190e-01,-2.462469e-01,5.952184e-01,-3.743181e-01,-7.300041e-03,1.415347e-02,-6.359668e-03,563.3987
1.2100,SS,0,7.548783e-01,-4.817467e-01,8.789261e-01,1.254764e+00,-8.349621e-01,5.955494e-01,-1.042763e+00,-2.892537e-01,6.280590e-01,-4.197845e-01,-9.446150e-03,1.650263e-02,-7.539433e-03,513.7690
1.3100,SS,0,6.629323e-01,-4.087745e-01,1.032340e+00,1.293175e+00,-7.128788e-01,5.277795e-01,-1.199333e+00,-3.283412e-01,6.574989e-01,-4.722234e-01,-1.188538e-02,1.891230e-02,-8.845224e-03,461.8901
1.4100,SS,0,5.299122e-01,-3.623803e-01,1.212008e+00,1.371528e+00,-5.402233e-01,4.837814e-01,-1.377159e+00,-3.609995e-01,6.846298e-01,-5.329463e-01,-1.456963e-02,2.136927e-02,-1.030549e-02,408.8290
1.5100,SS,0,3.715634e-01,-3.403836e-01,1.404184e+00,1.491862e+00,-3.363960e-01,4.604536e-01,-1.560695e+00,-3.853601e-01,7.104711e-01,-6.026834e-01,-1.743662e-02,2.386653e-02,-1.195382e-02,355.6882
1.6100,SS,0,2.012284e-01,-3.345499e-01,1.588540e+00,1.635810e+00,-1.169977e-01,4.479383e-01,-1.729806e+00,-4.003158e-01,7.356848e-01,-6.811054e-01,-2.041729e-02,2.640221e-02,-1.382562e-02,303.5703
1.7100,SS,0,3.527886e-02,-3.420215e-01,1.755819e+00,1.789168e+00,9.677175e-02,4.455069e-01,-1.873105e+00,-4.056220e-01,7.607967e-01,-7.674702e-01,-2.344215e-02,2.897822e-02,-1.595573e-02,253.5412
1.8100,SS,0,-1.204967e-01,-3.512804e-01,1.890890e+00,1.927014e+00,2.973458e-01,4.403314e-01,-1.977829e+00,-4.016260e-01,7.859076e-01,-8.601289e-01,-2.644693e-02,3.159913e-02,-1.837553e-02,206.5922
1.9100,SS,0,-2.563297e-01,-3.570660e-01,1.990961e+00,2.038903e+00,4.694567e-01,4.291581e-01,-2.040856e+00,-3.892437e-01,8.108566e-01,-9.574414e-01,-2.937446e-02,3.427017e-02,-2.111161e-02,163.6016
2.0100,SS,0,-3.644928e-01,-3.322488e-01,2.024243e+00,2.083460e+00,5.991354e-01,3.781430e-01,-2.036769e+00,-3.701083e-01,8.344081e-01,-1.056244e+00,-3.217834e-02,3.699409e-02,-2.418155e-02,125.2988
2.1100,SS,0,-4.504436e-01,-2.938277e-01,2.015704e+00,2.086216e+00,6.983535e-01,3.185873e-01,-1.990472e+00,-3.456925e-01,8.556232e-01,-1.154691e+00,-3.482308e-02,3.976764e-02,-2.759372e-02,92.2273
2.2100,SS,0,-4.984682e-01,-2.117043e-01,1.921565e+00,1.996422e+00,7.380723e-01,2.031469e-01,-1.867404e+00,-3.181597e-01,8.727831e-01,-1.248989e+00,-3.728236e-02,4.258267e-02,-3.134423e-02,64.7171
2.3100,SS,0,-5.224362e-01,-8.186946e-02,1.705705e+00,1.785797e+00,7.382250e-01,3.462610e-02,-1.634639e+00,-2.895639e-01,8.831887e-01,-1.333616e+00,-3.954191e-02,4.541826e-02,-3.540876e-02,42.8650
2.4100,SS,0,-5.219823e-01,9.163511e-02,1.352333e+00,1.452469e+00,7.109173e-01,-1.678721e-01,-1.287901e+00,-2.617214e-01,8.848929e-01,-1.402271e+00,-4.159271e-02,4.824192e-02,-3.973746e-02,26.5173
2.5100,SS,0,-4.939756e-01,2.149286e-01,1.000760e+00,1.136542e+00,6.594417e-01,-3.041538e-01,-9.621348e-01,-2.350838e-01,8.795975e-01,-1.456581e+00,-4.342501e-02,5.101853e-02,-4.427040e-02,15.2393
2.6100,SS,0,-4.303550e-01,2.751126e-01,6.609756e-01,8.353329e-01,5.505954e-01,-3.685655e-01,-6.529070e-01,-2.116200e-01,8.699921e-01,-1.497550e+00,-4.503824e-02,5.372258e-02,-4.894694e-02,8.2680
2.7100,SS,0,-3.303825e-01,2.635754e-01,3.437684e-01,5.447947e-01,3.896660e-01,-3.318636e-01,-3.653266e-01,-1.939649e-01,8.598674e-01,-1.525966e+00,-4.645306e-02,5.634072e-02,-5.370419e-02,4.4800
2.8100,SS,0,-1.771160e-01,1.866123e-01,7.737584e-02,2.686656e-01,2.000543e-01,-2.195303e-01,-1.534255e-01,-1.839510e-01,8.533803e-01,-1.543645e+00,-4.770717e-02,5.887623e-02,-5.847984e-02,2.5652
2.9200,DS_interstep,0,-1.758900e+00,4.473300e+00,-5.000000e+00,6.935715e+00,1.752778e+00,-4.454830e+00,4.964178e+00,-1.751780e-01,8.310646e-01,-1.518748e+00,-4.781062e-02,5.906722e-02,-5.889126e-02,2.4061
2.9300,DS_interstep,0,-3.863518e-01,3.893002e+00,-5.000000e+00,6.348601e+00,4.805993e-02,-3.930831e+00,4.865464e+00,-1.749287e-01,8.113694e-01,-1.494346e+00,-4.796179e-02,5.925452e-02,-5.931872e-02,1.9205
2.9400,DS_interstep,0,6.865604e-01,3.657375e+00,-5.000000e+00,6.232797e+00,-8.144441e-01,-3.629184e+00,4.912269e+00,-1.789920e-01,7.931833e-01,-1.469710e+00,-4.812662e-02,5.944658e-02,-5.975401e-02,1.4468
2.9500,DS_interstep,0,1.269022e+00,3.629344e+00,-5.000000e+00,6.307341e+00,-1.303174e+00,-3.586100e+00,4.939064e+00,-1.854988e-01,7.752136e-01,-1.444942e+00,-4.829090e-02,5.964416e-02,-6.019195e-02,1.0502
2.9600,DS_interstep,0,1.528652e+00,3.641894e+00,-5.000000e+00,6.371826e+00,-1.526372e+00,-3.602463e+00,4.958532e+00,-1.931213e-01,7.571629e-01,-1.420078e+00,-4.844989e-02,5.984530e-02,-6.062855e-02,0.7426
2.9700,DS_interstep,0,1.584358e+00,3.558855e+00,-4.800296e+00,6.182110e+00,-1.572603e+00,-3.531019e+00,4.774776e+00,-2.009745e-01,7.394704e-01,-1.396133e+00,-4.860310e-02,6.004684e-02,-6.106057e-02,0.5145
2.9800,DS_interstep,0,1.529111e+00,3.325611e+00,-4.231121e+00,5.594663e+00,-1.519747e+00,-3.312905e+00,4.218734e+00,-2.085630e-01,7.228694e-01,-1.374970e+00,-4.875175e-02,6.024525e-02,-6.148545e-02,0.3502
2.9900,DS_interstep,0,1.453006e+00,3.332069e+00,-4.197875e+00,5.553023e+00,-1.450247e+00,-3.334904e+00,4.195933e+00,-2.158037e-01,7.061592e-01,-1.353923e+00,-4.889728e-02,6.043760e-02,-6.190108e-02,0.2341
3.0000,DS_interstep,0,1.331600e+00,3.389927e+00,-4.395786e+00,5.708564e+00,-1.334193e+00,-3.404093e+00,4.403542e+00,-2.224637e-01,6.891039e-01,-1.331838e+00,-4.904088e-02,6.062174e-02,-6.230556e-02,0.1534
3.0100,DS_interstep,0,1.188987e+00,3.462996e+00,-4.732114e+00,5.983222e+00,-1.195969e+00,-3.485782e+00,4.748763e+00,-2.284323e-01,6.716411e-01,-1.308028e+00,-4.918339e-02,6.079617e-02,-6.269720e-02,0.0981
3.0200,DS_interstep,0,1.036342e+00,3.476960e+00,-5.000000e+00,6.177642e+00,-1.046343e+00,-3.506102e+00,5.000000e+00,-2.336524e-01,6.540775e-01,-1.282964e+00,-4.932540e-02,6.095981e-02,-6.307456e-02,0.0614
3.0300,DS_interstep,0,8.840758e-01,3.371092e+00,-5.000000e+00,6.094740e+00,-8.959520e-01,-3.405142e+00,5.000000e+00,-2.381204e-01,6.370196e-01,-1.257900e+00,-4.946723e-02,6.111187e-02,-6.343660e-02,0.0391
3.0400,DS_interstep,0,7.509892e-01,3.279415e+00,-5.000000e+00,6.026487e+00,-7.638146e-01,-3.317478e+00,5.000000e+00,-2.419275e-01,6.204009e-01,-1.232838e+00,-4.960892e-02,6.125190e-02,-6.378272e-02,0.0292
3.0500,DS_interstep,0,6.228115e-01,3.190474e+00,-5.000000e+00,5.963809e+00,-6.351355e-01,-3.230647e+00,5.000000e+00,-2.450910e-01,6.042172e-01,-1.207777e+00,-4.975025e-02,6.137983e-02,-6.411269e-02,0.0284
3.0600,DS_interstep,0,4.963683e-01,3.100392e+00,-5.000000e+00,5.904135e+00,-5.073350e-01,-3.141140e+00,5.000000e+00,-2.476153e-01,5.884818e-01,-1.182718e+00,-4.989087e-02,6.149591e-02,-6.442659e-02,0.0312
3.0700,DS_interstep,0,3.718453e-01,3.008682e+00,-5.000000e+00,5.847259e+00,-3.809373e-01,-3.048767e+00,5.000000e+00,-2.495076e-01,5.732090e-01,-1.157659e+00,-5.003032e-02,6.160065e-02,-6.472480e-02,0.0341
3.0800,DS_interstep,0,2.504611e-01,2.916264e+00,-5.000000e+00,5.793732e+00,-2.574010e-01,-2.954710e+00,5.000000e+00,-2.507821e-01,5.584072e-01,-1.132602e+00,-5.016815e-02,6.169472e-02,-6.500790e-02,0.0363
3.0900,DS_interstep,0,1.337753e-01,2.824535e+00,-5.000000e+00,5.744205e+00,-1.384692e-01,-2.860605e+00,5.000000e+00,-2.514619e-01,5.440767e-01,-1.107546e+00,-5.030386e-02,6.177892e-02,-6.527664e-02,0.0375
3.1000,DS_interstep,0,2.344829e-02,2.734941e+00,-5.000000e+00,5.699162e+00,-2.594409e-02,-2.768115e+00,5.000000e+00,-2.515791e-01,5.302094e-01,-1.082492e+00,-5.043703e-02,6.185414e-02,-6.553189e-02,0.0377
3.1100,DS_interstep,0,-7.889408e-02,2.648790e+00,-5.000000e+00,5.658826e+00,7.843948e-02,-2.678748e+00,5.000000e+00,-2.511744e-01,5.167895e-01,-1.057438e+00,-5.056728e-02,6.192129e-02,-6.577460e-02,0.0373
3.1200,DS_interstep,0,-1.717699e-01,2.567178e+00,-5.000000e+00,5.623158e+00,1.731198e-01,-2.593776e+00,5.000000e+00,-2.502963e-01,5.037952e-01,-1.032386e+00,-5.069428e-02,6.198129e-02,-6.600571e-02,0.0362
3.1300,DS_interstep,0,-2.539359e-01,2.490967e+00,-5.000000e+00,5.591905e+00,2.567988e-01,-2.514215e+00,5.000000e+00,-2.489998e-01,4.911993e-01,-1.007335e+00,-5.081781e-02,6.203502e-02,-6.622617e-02,0.0347
3.1400,DS_interstep,0,-3.244603e-01,2.420785e+00,-5.000000e+00,5.564663e+00,3.285118e-01,-2.440824e+00,5.000000e+00,-2.473449e-01,4.789710e-01,-9.822855e-01,-5.093768e-02,6.208329e-02,-6.643688e-02,0.0329
3.1500,DS_interstep,0,-3.827691e-01,2.357039e+00,-5.000000e+00,5.540952e+00,3.876708e-01,-2.374115e+00,5.000000e+00,-2.453942e-01,4.670768e-01,-9.572371e-01,-5.105384e-02,6.212684e-02,-6.663865e-02,0.0309
3.1600,DS_interstep,0,-4.286649e-01,2.299933e+00,-5.000000e+00,5.520276e+00,4.340802e-01,-2.314370e+00,5.000000e+00,-2.432117e-01,4.554819e-01,-9.321899e-01,-5.116626e-02,6.216632e-02,-6.683221e-02,0.0288
3.1700,DS_interstep,0,-4.623198e-01,2.249487e+00,-5.000000e+00,5.502175e+00,4.679270e-01,-2.261668e+00,5.000000e+00,-2.408599e-01,4.441511e-01,-9.071440e-01,-5.127501e-02,6.220226e-02,-6.701817e-02,0.0267
3.1800,DS_interstep,0,-4.842480e-01,2.205566e+00,-5.000000e+00,5.486257e+00,4.897509e-01,-2.215906e+00,5.000000e+00,-2.383992e-01,4.330497e-01,-8.820993e-01,-5.138023e-02,6.223510e-02,-6.719703e-02,0.0247
3.1900,DS_interstep,0,-4.952620e-01,2.167900e+00,-5.000000e+00,5.472209e+00,5.003979e-01,-2.176826e+00,5.000000e+00,-2.358854e-01,4.221442e-01,-8.570559e-01,-5.148209e-02,6.226516e-02,-6.736917e-02,0.0227
3.2000,DS_interstep,0,-4.964184e-01,2.136113e+00,-5.000000e+00,5.459800e+00,5.009636e-01,-2.144049e+00,5.000000e+00,-2.333689e-01,4.114031e-01,-8.320137e-01,-5.158080e-02,6.229269e-02,-6.753486e-02,0.0210
3.2100,DS_interstep,0,-4.889584e-01,2.109748e+00,-5.000000e+00,5.448864e+00,4.927320e-01,-2.117097e+00,5.000000e+00,-2.308937e-01,4.007973e-01,-8.069728e-01,-5.167662e-02,6.231781e-02,-6.769425e-02,0.0195
3.2200,DS_interstep,0,-4.742468e-01,2.088292e+00,-5.000000e+00,5.439290e+00,4.771120e-01,-2.095423e+00,5.000000e+00,-2.284966e-01,3.903005e-01,-7.819331e-01,-5.176983e-02,6.234059e-02,-6.784743e-02,0.0183
3.2300,DS_interstep,0,-4.537136e-01,2.071197e+00,-5.000000e+00,5.430996e+00,4.555773e-01,-2.078442e+00,5.000000e+00,-2.262074e-01,3.798890e-01,-7.568947e-01,-5.186070e-02,6.236101e-02,-6.799436e-02,0.0173
3.2400,DS_interstep,0,-4.287994e-01,2.057904e+00,-5.000000e+00,5.423913e+00,4.296110e-01,-2.065545e+00,5.000000e+00,-2.240481e-01,3.695426e-01,-7.318575e-01,-5.194952e-02,6.237901e-02,-6.813498e-02,0.0165
3.2500,DS_interstep,0,-4.009084e-01,2.047858e+00,-5.000000e+00,5.417975e+00,4.006562e-01,-2.056128e+00,5.000000e+00,-2.220337e-01,3.592437e-01,-7.068216e-01,-5.203656e-02,6.239446e-02,-6.826913e-02,0.0160
3.2600,DS_interstep,0,-3.713674e-01,2.040524e+00,-5.000000e+00,5.413100e+00,3.700752e-01,-2.049605e+00,5.000000e+00,-2.201723e-01,3.489780e-01,-6.817870e-01,-5.212210e-02,6.240723e-02,-6.839663e-02,0.0157
3.2700,DS_interstep,0,-3.474607e-01,1.882322e+00,-4.630924e+00,5.010920e+00,3.451829e-01,-1.892344e+00,4.648314e+00,-2.184354e-01,3.394991e-01,-6.585119e-01,-5.220643e-02,6.241701e-02,-6.851739e-02,0.0156
3.2800,DS_interstep,0,-3.057472e-01,1.801212e+00,-4.380223e+00,4.745967e+00,3.019812e-01,-1.813333e+00,4.398156e+00,-2.169146e-01,3.304158e-01,-6.364889e-01,-5.228983e-02,6.242349e-02,-6.863141e-02,0.0155
3.2900,DS_interstep,0,-2.703826e-01,1.745438e+00,-4.192614e+00,4.549469e+00,2.659484e-01,-1.758718e+00,4.211101e+00,-2.155741e-01,3.216059e-01,-6.154021e-01,-5.237244e-02,6.242654e-02,-6.873871e-02,0.0154
3.3000,DS_interstep,0,-2.430747e-01,1.695060e+00,-4.036395e+00,4.384609e+00,2.381780e-01,-1.709050e+00,4.055353e+00,-2.143724e-01,3.130448e-01,-5.950951e-01,-5.245436e-02,6.242609e-02,-6.883934e-02,0.0153
3.3100,DS_interstep,0,-2.218697e-01,1.646417e+00,-3.902087e+00,4.241014e+00,2.166262e-01,-1.660854e+00,3.921425e+00,-2.132786e-01,3.047251e-01,-5.754588e-01,-5.253567e-02,6.242214e-02,-6.893333e-02,0.0152
3.3200,DS_interstep,0,-2.056938e-01,1.598580e+00,-3.784092e+00,4.113042e+00,2.002323e-01,-1.613255e+00,3.803714e+00,-2.122668e-01,2.966438e-01,-5.564120e-01,-5.261641e-02,6.241471e-02,-6.902078e-02,0.0151
3.3300,DS_interstep,0,-1.939839e-01,1.551201e+00,-3.677821e+00,3.996276e+00,1.884272e-01,-1.565941e+00,3.697623e+00,-2.113141e-01,2.887995e-01,-5.378966e-01,-5.269661e-02,6.240389e-02,-6.910178e-02,0.0149
3.3400,DS_interstep,0,-1.862535e-01,1.504132e+00,-3.579327e+00,3.886989e+00,1.807034e-01,-1.518803e+00,3.599198e+00,-2.104000e-01,2.811913e-01,-5.198742e-01,-5.277627e-02,6.238975e-02,-6.917646e-02,0.0146
3.3500,DS_interstep,0,-1.819607e-01,1.457285e+00,-3.485289e+00,3.782066e+00,1.764952e-01,-1.471784e+00,3.505117e+00,-2.095071e-01,2.738185e-01,-5.023231e-01,-5.285537e-02,6.237242e-02,-6.924496e-02,0.0144
3.3600,DS_interstep,0,-1.805278e-01,1.410561e+00,-3.393020e+00,3.678975e+00,1.752056e-01,-1.424811e+00,3.412699e+00,-2.086206e-01,2.666810e-01,-4.852350e-01,-5.293388e-02,6.235203e-02,-6.930744e-02,0.0141
3.3700,DS_interstep,0,-1.813974e-01,1.363825e+00,-3.300457e+00,3.575744e+00,1.762624e-01,-1.377773e+00,3.319885e+00,-2.077289e-01,2.597790e-01,-4.686118e-01,-5.301176e-02,6.232869e-02,-6.936410e-02,0.0137
3.3800,DS_interstep,0,-1.840717e-01,1.316929e+00,-3.206123e+00,3.470938e+00,1.791578e-01,-1.330538e+00,3.225211e+00,-2.068227e-01,2.531135e-01,-4.524627e-01,-5.308899e-02,6.230256e-02,-6.941512e-02,0.0133
3.3900,DS_interstep,0,-1.881287e-01,1.269743e+00,-3.109081e+00,3.363632e+00,1.834615e-01,-1.282987e+00,3.127750e+00,-2.058951e-01,2.466861e-01,-4.368018e-01,-5.316550e-02,6.227376e-02,-6.946073e-02,0.0130
3.4000,DS_interstep,0,-1.932200e-01,1.222184e+00,-3.008866e+00,3.253359e+00,1.888186e-01,-1.235048e+00,3.027054e+00,-2.049408e-01,2.404987e-01,-4.216451e-01,-5.324127e-02,6.224244e-02,-6.950114e-02,0.0125
3.4100,DS_interstep,0,-1.990603e-01,1.174234e+00,-2.905418e+00,3.140048e+00,1.949378e-01,-1.186712e+00,2.923071e+00,-2.039559e-01,2.345533e-01,-4.070091e-01,-5.331622e-02,6.220874e-02,-6.953659e-02,0.0121
3.4200,DS_interstep,0,-2.054155e-01,1.125946e+00,-2.798992e+00,3.023955e+00,2.015790e-01,-1.138037e+00,2.816072e+00,-2.029378e-01,2.288515e-01,-3.929087e-01,-5.339033e-02,6.217278e-02,-6.956729e-02,0.0117
3.4300,DS_interstep,0,-2.120910e-01,1.077435e+00,-2.690085e+00,2.905582e+00,2.085430e-01,-1.089143e+00,2.706566e+00,-2.018850e-01,2.233945e-01,-3.793566e-01,-5.346353e-02,6.213469e-02,-6.959348e-02,0.0112
3.4400,DS_interstep,0,-2.189242e-01,1.028866e+00,-2.579358e+00,2.785602e+00,2.156629e-01,-1.040199e+00,2.595222e+00,-2.007966e-01,2.181825e-01,-3.663619e-01,-5.353578e-02,6.209461e-02,-6.961538e-02,0.0108
3.4500,DS_interstep,0,-2.257972e-01,9.801430e-01,-2.466968e+00,2.664132e+00,2.228125e-01,-9.911019e-01,2.482198e+00,-1.996725e-01,2.132162e-01,-3.539330e-01,-5.360705e-02,6.205266e-02,-6.963324e-02,0.0103
3.4600,DS_interstep,0,-2.325213e-01,9.303447e-01,-2.351274e+00,2.539310e+00,2.297771e-01,-9.408985e-01,2.365814e+00,-1.985137e-01,2.085012e-01,-3.420865e-01,-5.367730e-02,6.200896e-02,-6.964728e-02,0.0099
3.4700,DS_interstep,0,-2.386040e-01,8.797065e-01,-2.232596e+00,2.411493e+00,2.360584e-01,-8.898387e-01,2.246402e+00,-1.973235e-01,2.040417e-01,-3.308377e-01,-5.374651e-02,6.196366e-02,-6.965776e-02,0.0094
3.4800,DS_interstep,0,-2.437132e-01,8.289451e-01,-2.112418e+00,2.282292e+00,2.413375e-01,-8.386574e-01,2.125470e+00,-1.961070e-01,1.998383e-01,-3.201941e-01,-5.381466e-02,6.191686e-02,-6.966491e-02,0.0090
3.4900,DS_interstep,0,-2.477627e-01,7.787531e-01,-1.992468e+00,2.153548e+00,2.455418e-01,-7.880586e-01,2.004771e+00,-1.948695e-01,1.958882e-01,-3.101545e-01,-5.388175e-02,6.186869e-02,-6.966896e-02,0.0086
3.5000,DS_interstep,0,-2.508313e-01,7.297080e-01,-1.874396e+00,2.027005e+00,2.487590e-01,-7.386282e-01,1.885976e+00,-1.936160e-01,1.921853e-01,-3.007094e-01,-5.394775e-02,6.181927e-02,-6.967013e-02,0.0082
3.5100,DS_interstep,0,-2.530825e-01,6.822573e-01,-1.759622e+00,1.904152e+00,2.511572e-01,-6.908194e-01,1.770519e+00,-1.923506e-01,1.887217e-01,-2.918420e-01,-5.401267e-02,6.176869e-02,-6.966863e-02,0.0079
3.5200,DS_interstep,0,-2.547056e-01,6.367264e-01,-1.649262e+00,1.786158e+00,2.529271e-01,-6.449602e-01,1.659523e+00,-1.910764e-01,1.854876e-01,-2.835301e-01,-5.407648e-02,6.171704e-02,-6.966464e-02,0.0076
3.5300,DS_interstep,0,-2.558777e-01,5.933360e-01,-1.544116e+00,1.673862e+00,2.542456e-01,-6.012718e-01,1.553793e+00,-1.897957e-01,1.824720e-01,-2.757471e-01,-5.413917e-02,6.166441e-02,-6.965834e-02,0.0073
3.5400,DS_interstep,0,-2.567446e-01,5.522222e-01,-1.444701e+00,1.567810e+00,2.552575e-01,-5.598893e-01,1.453848e+00,-1.885099e-01,1.796635e-01,-2.684643e-01,-5.420074e-02,6.161088e-02,-6.964989e-02,0.0070
3.5500,DS_interstep,0,-2.574155e-01,5.134543e-01,-1.351298e+00,1.468300e+00,2.560711e-01,-5.208801e-01,1.359965e+00,-1.872202e-01,1.770502e-01,-2.616512e-01,-5.426117e-02,6.155652e-02,-6.963943e-02,0.0068
3.5600,DS_interstep,0,-2.579673e-01,4.770543e-01,-1.264001e+00,1.375437e+00,2.567626e-01,-4.842637e-01,1.272237e+00,-1.859271e-01,1.746201e-01,-2.552771e-01,-5.432046e-02,6.150139e-02,-6.962710e-02,0.0065
3.5700,DS_interstep,0,-2.584651e-01,4.430877e-01,-1.182782e+00,1.289226e+00,2.573953e-01,-4.501061e-01,1.190630e+00,-1.846308e-01,1.723609e-01,-2.493114e-01,-5.437859e-02,6.144554e-02,-6.961300e-02,0.0063
3.5800,DS_interstep,0,-2.589410e-01,4.115593e-01,-1.107484e+00,1.209525e+00,2.580019e-01,-4.184100e-01,1.114984e+00,-1.833316e-01,1.702603e-01,-2.437242e-01,-5.443557e-02,6.138903e-02,-6.959727e-02,0.0061
3.5900,DS_interstep,0,-2.593995e-01,3.823525e-01,-1.037848e+00,1.136050e+00,2.585898e-01,-3.890532e-01,1.045036e+00,-1.820296e-01,1.683066e-01,-2.384869e-01,-5.449138e-02,6.133189e-02,-6.957998e-02,0.0059
3.6000,DS_interstep,0,-2.598427e-01,3.553082e-01,-9.735654e-01,1.068453e+00,2.591630e-01,-3.618730e-01,9.804734e-01,-1.807247e-01,1.664889e-01,-2.335728e-01,-5.454602e-02,6.127417e-02,-6.956123e-02,0.0058
