t_s,phase,step_index,swing_arm,d_grip_swing_mm,ori_err_deg,pos_ok,ori_ok,gate_eval,twist_norm_at_gateeval,docked_at_gateeval,Hdot_s_realized_cont_x_Nm,Hdot_s_realized_cont_y_Nm,Hdot_s_realized_cont_z_Nm,Hdot_s_realized_norm_Nm,Hdot_s_planned_ss_x_Nm,Hdot_s_planned_ss_y_Nm,Hdot_s_planned_ss_z_Nm,Hdot_s_planned_norm_Nm,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,r_com_x_m,r_com_y_m,r_com_z_m,r_com_ref_x_m,r_com_ref_y_m,r_com_ref_z_m,e_com_m,v_com_x_mps,v_com_y_mps,v_com_z_mps,v_com_ref_x_mps,v_com_ref_y_mps,v_com_ref_z_mps,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,e_torso_pos_m,e_torso_ori_deg,p_torso_x_m,p_torso_y_m,p_torso_z_m,p_torso_ref_x_m,p_torso_ref_y_m,p_torso_ref_z_m,e_ee_pos_mm,e_ee_ori_deg,qp_ok,nmpc_ok,qp_time_ms,nmpc_time_ms,nmpc_iterations,lambda_qp_norm,lambda_ref_norm,tau_max_joint_Nm
0.1100,SS,0,b,799.5962,0.0048,0,1,0,,,8.320767e-02,-9.300186e-01,4.795115e-01,1.049662e+00,4.570208e-01,-1.444435e+00,2.471738e+00,2.899094e+00,-1.424144e-01,1.165593e+00,-2.842052e-01,-3.047785e-03,3.323630e-02,-2.568678e-02,-3.540310e-02,-6.154011e-01,-3.500190e-01,-4.003131e-04,-6.040655e-01,-3.499207e-01,3.679266e-02,1.758309e-03,6.314251e-05,-4.838773e-04,5.893011e-03,1.859964e-03,-2.691761e-06,-1.954668e-05,6.591305e-05,-5.872598e-05,3.521318e-05,5.359683e-03,1.766379e-01,-8.155980e-01,-3.435500e-01,1.766288e-01,-8.155784e-01,-3.435778e-01,5.216531e-01,4.802557e-03,1,1,5.693623e+01,1.656992e+01,10,2.127370e+00,6.327488e+00,1.016759e+00
0.2100,SS,0,b,797.4333,0.0106,0,1,0,,,9.296357e-02,-1.163524e+00,5.709421e-01,1.299387e+00,6.470549e-01,-1.375935e+00,3.076237e+00,3.431488e+00,-1.111855e-01,1.149814e+00,-5.882722e-01,-9.102902e-03,8.582338e-02,-4.917707e-02,-3.506994e-02,-6.153696e-01,-3.500996e-01,7.834803e-03,-6.015259e-01,-3.499431e-01,4.508315e-02,4.846170e-03,3.338816e-04,-1.110041e-03,8.596681e-03,2.248085e-03,-4.102337e-04,-1.113380e-04,3.609693e-04,-1.903269e-04,2.946679e-04,1.776459e-02,1.767555e-01,-8.156356e-01,-3.434111e-01,1.769186e-01,-8.154396e-01,-3.435588e-01,2.427869e+00,1.061491e-02,1,1,5.068258e+01,1.493334e+01,10,2.898873e+00,7.439887e+00,1.408776e+00
0.3100,SS,0,b,792.1387,0.0199,0,1,0,,,1.296740e-01,-1.346481e+00,6.825628e-01,1.515163e+00,8.719206e-01,-1.230847e+00,4.157288e+00,4.422474e+00,-1.549436e-01,1.371833e+00,-6.955722e-01,-1.537112e-02,1.447104e-01,-8.233960e-02,-3.439604e-02,-6.153131e-01,-3.502416e-01,1.683315e-02,-5.988226e-01,-3.499872e-01,5.381850e-02,8.645538e-03,6.046615e-04,-1.727815e-03,1.246345e-02,2.804592e-03,-9.316422e-04,-2.592710e-04,9.000744e-04,-4.308899e-04,1.087003e-03,4.344058e-02,1.768888e-01,-8.157060e-01,-3.431351e-01,1.776881e-01,-8.150709e-01,-3.435083e-01,5.449929e+00,1.989110e-02,1,1,5.392790e+01,1.603055e+01,11,3.629611e+00,8.786621e+00,1.753466e+00
0.4100,SS,0,b,782.5628,0.0419,0,1,0,,,1.884530e-01,-1.448294e+00,7.734685e-01,1.652672e+00,1.090563e+00,-1.058604e+00,4.999984e+00,5.225879e+00,-2.347627e-01,1.494615e+00,-7.829086e-01,-2.510074e-02,2.121416e-01,-1.185136e-01,-3.329424e-02,-6.152205e-01,-3.504456e-01,2.608618e-02,-5.960648e-01,-3.500385e-01,6.239505e-02,1.329478e-02,1.119791e-03,-2.333139e-03,1.676155e-02,3.386900e-03,-1.437949e-03,-4.786950e-04,1.719067e-03,-7.931706e-04,2.638751e-03,7.605520e-02,1.769936e-01,-8.158046e-01,-3.427012e-01,1.791049e-01,-8.143921e-01,-3.434153e-01,9.222743e+00,4.185351e-02,1,1,5.065388e+01,1.638136e+01,12,4.197123e+00,9.827773e+00,2.232207e+00
0.5100,SS,0,b,767.8663,0.0791,0,1,0,,,2.806672e-01,-1.427467e+00,7.672661e-01,1.644729e+00,1.300420e+00,-7.561864e-01,4.999997e+00,5.221387e+00,-3.460115e-01,1.461814e+00,-8.042575e-01,-3.943882e-02,2.810422e-01,-1.551385e-01,-3.170448e-02,-6.150683e-01,-3.507078e-01,3.592864e-02,-5.932251e-01,-3.501155e-01,7.107543e-02,1.832394e-02,1.957754e-03,-2.878099e-03,2.116569e-02,4.267279e-03,-1.922540e-03,-7.987148e-04,2.829243e-03,-1.279168e-03,5.107037e-03,1.148848e-01,1.770214e-01,-8.159114e-01,-3.421058e-01,1.812821e-01,-8.133489e-01,-3.432725e-01,1.344548e+01,7.910889e-02,1,1,4.927926e+01,1.663392e+01,12,4.453277e+00,9.815435e+00,2.612440e+00
0.6100,SS,0,b,747.5333,0.1286,0,1,0,,,3.987215e-01,-1.333151e+00,7.344769e-01,1.573444e+00,1.465747e+00,-4.084190e-01,4.999999e+00,5.226395e+00,-4.844814e-01,1.377043e+00,-7.925662e-01,-5.982508e-02,3.475475e-01,-1.914392e-01,-2.960657e-02,-6.148239e-01,-3.510195e-01,4.585105e-02,-5.903774e-01,-3.501965e-01,7.932313e-02,2.349514e-02,3.223959e-03,-3.319774e-03,2.545889e-02,5.442909e-03,-2.349271e-03,-1.260016e-03,4.214943e-03,-1.883004e-03,8.591074e-03,1.575768e-01,1.769171e-01,-8.159862e-01,-3.413640e-01,1.842838e-01,-8.119107e-01,-3.430755e-01,1.786958e+01,1.286404e-01,1,1,5.299026e+01,1.699252e+01,12,4.561581e+00,9.532652e+00,2.881525e+00
0.7100,SS,0,b,721.3556,0.1860,0,1,0,,,5.226673e-01,-1.193828e+00,6.978540e-01,1.478312e+00,1.560335e+00,-9.852379e-02,4.999999e+00,5.238735e+00,-6.230310e-01,1.252530e+00,-7.794922e-01,-8.681430e-02,4.096154e-01,-2.269860e-01,-2.699831e-02,-6.144458e-01,-3.513679e-01,5.604648e-02,-5.875518e-01,-3.502993e-01,8.729759e-02,2.866762e-02,4.960819e-03,-3.621375e-03,2.965987e-02,6.970836e-03,-2.689246e-03,-1.912220e-03,5.849301e-03,-2.594352e-03,1.313286e-02,2.026702e-01,1.766326e-01,-8.159779e-01,-3.405056e-01,1.881293e-01,-8.100681e-01,-3.428231e-01,2.228411e+01,1.860295e-01,1,1,5.171218e+01,1.830039e+01,13,4.585106e+00,9.127170e+00,3.045589e+00
0.8100,SS,0,b,689.4110,0.2466,0,1,0,,,6.408081e-01,-1.029166e+00,6.672356e-01,1.383843e+00,1.571697e+00,1.516966e-01,4.999999e+00,5.243399e+00,-7.524017e-01,1.100438e+00,-7.730768e-01,-1.202460e-01,4.656366e-01,-2.620229e-01,-2.389182e-02,-6.138907e-01,-3.517369e-01,6.622480e-02,-5.847508e-01,-3.504044e-01,9.472019e-02,3.370449e-02,7.155447e-03,-3.751911e-03,3.369202e-02,8.883902e-03,-2.912183e-03,-2.804802e-03,7.697754e-03,-3.402871e-03,1.872169e-02,2.493215e-01,1.761317e-01,-8.158329e-01,-3.395722e-01,1.927990e-01,-8.078307e-01,-3.425167e-01,2.650440e+01,2.465645e-01,1,1,5.008659e+01,1.725129e+01,13,4.547832e+00,8.640033e+00,3.105583e+00
0.9100,SS,0,b,652.0344,0.3061,0,1,0,,,7.351593e-01,-8.614878e-01,6.587335e-01,1.310172e+00,1.486807e+00,3.167472e-01,4.999999e+00,5.225985e+00,-8.515308e-01,9.452573e-01,-7.858223e-01,-1.592300e-01,5.149444e-01,-2.972515e-01,-2.031127e-02,-6.131178e-01,-3.521077e-01,7.633448e-02,-5.820490e-01,-3.505191e-01,1.015293e-01,3.850251e-02,9.734620e-03,-3.689276e-03,3.752670e-02,1.113886e-02,-2.995237e-03,-3.982188e-03,9.721847e-03,-4.300475e-03,2.529862e-02,2.968412e-01,1.753942e-01,-8.155004e-01,-3.386134e-01,1.982383e-01,-8.052246e-01,-3.421597e-01,3.036639e+01,3.061094e-01,1,1,5.002186e+01,1.811880e+01,13,4.462182e+00,8.117121e+00,3.060161e+00
1.0100,SS,0,b,609.7831,0.3617,0,1,0,,,7.911641e-01,-7.097054e-01,6.884448e-01,1.266325e+00,1.304539e+00,3.760647e-01,5.000000e+00,5.181046e+00,-9.041798e-01,8.057393e-01,-8.322689e-01,-2.020159e-01,5.578603e-01,-3.340990e-01,-1.628857e-02,-6.120951e-01,-3.524603e-01,8.628182e-02,-5.794211e-01,-3.506321e-01,1.076644e-01,4.299396e-02,1.255974e-02,-3.429526e-03,4.119437e-02,1.366667e-02,-2.921218e-03,-5.476110e-03,1.188450e-02,-5.284455e-03,3.276004e-02,3.448321e-01,1.744198e-01,-8.149389e-01,-3.376829e-01,2.043634e-01,-8.022898e-01,-3.417577e-01,3.372623e+01,3.616693e-01,1,1,5.020084e+01,1.662919e+01,13,4.329355e+00,7.616773e+00,2.908247e+00
