t_s,theta_s_norm_deg,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,hw_x_Nms,hw_y_Nms,hw_z_Nms,omega_s_x_dps,omega_s_y_dps,omega_s_z_dps,omega_s_norm_dps
0.010,6.192922e-14,1.461351e-14,3.295215e-15,6.009005e-14,-2.319809e-16,-4.596853e-17,-9.352192e-16,2.706960e-12,5.949187e-13,1.072825e-11,1.108048e-11
0.040,6.654555e-13,1.487094e-13,-3.760085e-15,6.486157e-13,7.085971e-11,-2.323102e-11,6.592769e-11,5.853723e-12,-9.203792e-13,2.521432e-11,2.590126e-11
0.070,1.499034e-12,3.337503e-13,-3.669836e-14,1.460947e-12,7.461072e-11,-2.783976e-11,1.805416e-10,5.814188e-12,-1.090615e-12,2.802015e-11,2.863779e-11
0.100,2.341533e-12,4.652621e-13,-6.206498e-14,2.294005e-12,5.174978e-11,-3.009695e-11,2.917297e-10,2.623751e-12,-6.122922e-13,2.717619e-11,2.730941e-11
0.310,1.237053e-03,-8.979916e-04,8.048582e-04,-2.758873e-04,-5.985079e-02,1.351611e-01,-6.230803e-02,-5.934334e-03,5.884405e-03,-1.735191e-03,8.535422e-03
0.610,5.284696e-03,-3.683684e-03,3.650548e-03,-1.015869e-03,-1.505092e-01,3.080654e-01,-1.187999e-01,-1.285120e-02,1.273881e-02,-3.053060e-03,1.835079e-02
0.910,1.223042e-02,-8.805909e-03,8.236911e-03,-2.047528e-03,-2.761588e-01,4.445869e-01,-1.683698e-01,-2.145485e-02,1.727938e-02,-3.785600e-03,2.780680e-02
1.210,2.172397e-02,-1.647913e-02,1.375304e-02,-3.350049e-03,-4.044848e-01,5.297194e-01,-2.368597e-01,-2.928917e-02,1.922348e-02,-5.167795e-03,3.541333e-02
1.510,3.283981e-02,-2.575014e-02,1.964214e-02,-5.437815e-03,-4.719023e-01,5.883933e-01,-3.705058e-01,-3.170130e-02,2.010416e-02,-9.247744e-03,3.866097e-02
1.810,4.417568e-02,-3.461704e-02,2.582003e-02,-9.299298e-03,-4.410588e-01,6.462449e-01,-5.870192e-01,-2.704199e-02,2.134036e-02,-1.687126e-02,3.835778e-02
2.110,5.490776e-02,-4.133135e-02,3.248114e-02,-1.586054e-02,-3.330116e-01,7.083566e-01,-8.541828e-01,-1.808832e-02,2.325899e-02,-2.689628e-02,3.989459e-02
2.410,6.530572e-02,-4.513506e-02,3.970555e-02,-2.551732e-02,-1.926585e-01,7.578589e-01,-1.121570e+00,-7.949776e-03,2.497764e-02,-3.718688e-02,4.549665e-02
2.710,7.615316e-02,-4.616923e-02,4.726840e-02,-3.786032e-02,-7.875479e-02,7.823431e-01,-1.321100e+00,-7.153485e-05,2.531446e-02,-4.413524e-02,5.087973e-02
3.020,8.425650e-02,-4.590102e-02,5.250643e-02,-4.727927e-02,-3.732778e-02,7.885648e-01,-1.386810e+00,-1.204242e-03,2.227567e-02,-4.482181e-02,5.006646e-02
3.050,8.562181e-02,-4.604255e-02,5.325549e-02,-4.873428e-02,-3.294784e-02,7.521879e-01,-1.351875e+00,-5.342684e-03,2.751350e-02,-5.051054e-02,5.776549e-02
3.080,8.709164e-02,-4.618244e-02,5.409705e-02,-5.025580e-02,-7.022954e-02,7.240190e-01,-1.334521e+00,-4.182848e-03,2.771323e-02,-5.033699e-02,5.761365e-02
3.110,8.849991e-02,-4.631007e-02,5.488258e-02,-5.172537e-02,-1.076979e-01,6.904741e-01,-1.318808e+00,-4.387290e-03,2.441118e-02,-4.714677e-02,5.327262e-02
3.140,8.977891e-02,-4.645578e-02,5.554959e-02,-5.306935e-02,-1.334265e-01,6.528737e-01,-1.283057e+00,-5.152199e-03,2.003450e-02,-4.221638e-02,4.701222e-02
3.170,9.089745e-02,-4.661815e-02,5.608326e-02,-5.425646e-02,-1.545907e-01,6.169760e-01,-1.245368e+00,-5.525620e-03,1.572885e-02,-3.700047e-02,4.058280e-02
3.200,9.186612e-02,-4.678361e-02,5.650215e-02,-5.530085e-02,-1.658420e-01,5.861828e-01,-1.207684e+00,-5.318091e-03,1.247023e-02,-3.282538e-02,3.551470e-02
3.230,9.272013e-02,-4.693391e-02,5.684329e-02,-5.624118e-02,-1.697170e-01,5.603194e-01,-1.170006e+00,-4.578375e-03,1.054449e-02,-3.007791e-02,3.219982e-02
3.260,9.350199e-02,-4.705905e-02,5.714465e-02,-5.711881e-02,-1.688717e-01,5.388845e-01,-1.132358e+00,-3.712483e-03,9.743382e-03,-2.859168e-02,3.043353e-02
3.290,9.424812e-02,-4.715937e-02,5.743355e-02,-5.796627e-02,-1.661913e-01,5.203868e-01,-1.094893e+00,-2.951958e-03,9.646336e-03,-2.800063e-02,2.976241e-02
3.320,9.498177e-02,-4.724012e-02,5.772461e-02,-5.880286e-02,-1.633870e-01,5.033618e-01,-1.057550e+00,-2.435676e-03,9.809941e-03,-2.776668e-02,2.954922e-02
3.350,9.571092e-02,-4.731088e-02,5.801992e-02,-5.963180e-02,-1.622037e-01,4.868776e-01,-1.020214e+00,-2.299575e-03,9.889815e-03,-2.744150e-02,2.925974e-02
3.380,9.643426e-02,-4.738345e-02,5.831418e-02,-6.044693e-02,-1.635003e-01,4.704513e-01,-9.828261e-01,-2.546313e-03,9.724072e-03,-2.682822e-02,2.864952e-02
3.410,9.714545e-02,-4.746823e-02,5.859909e-02,-6.123849e-02,-1.670513e-01,4.538730e-01,-9.453607e-01,-3.099820e-03,9.265020e-03,-2.586973e-02,2.765307e-02
3.440,9.783668e-02,-4.757317e-02,5.886627e-02,-6.199654e-02,-1.724752e-01,4.369755e-01,-9.078162e-01,-3.874409e-03,8.554655e-03,-2.461066e-02,2.634156e-02
3.470,9.850163e-02,-4.770321e-02,5.910974e-02,-6.271373e-02,-1.793129e-01,4.197839e-01,-8.702107e-01,-4.753252e-03,7.705118e-03,-2.317034e-02,2.487624e-02
3.500,9.913704e-02,-4.785960e-02,5.932731e-02,-6.338677e-02,-1.868596e-01,4.025240e-01,-8.325831e-01,-5.615668e-03,6.843813e-03,-2.169107e-02,2.342810e-02
3.530,9.974274e-02,-4.804059e-02,5.952005e-02,-6.401624e-02,-1.943580e-01,3.854307e-01,-7.949612e-01,-6.388112e-03,6.057280e-03,-2.027978e-02,2.210810e-02
3.560,1.003204e-01,-4.824305e-02,5.969077e-02,-6.460501e-02,-2.012756e-01,3.686178e-01,-7.573449e-01,-7.049903e-03,5.373605e-03,-1.898126e-02,2.094911e-02
3.590,1.008722e-01,-4.846377e-02,5.984238e-02,-6.515644e-02,-2.073733e-01,3.520719e-01,-7.197342e-01,-7.610463e-03,4.775939e-03,-1.778584e-02,1.992649e-02
3.620,1.013995e-01,-4.869996e-02,5.997691e-02,-6.567306e-02,-2.126148e-01,3.357083e-01,-6.821291e-01,-8.086788e-03,4.226823e-03,-1.665480e-02,1.899064e-02
3.650,1.019025e-01,-4.894931e-02,6.009525e-02,-6.615615e-02,-2.170456e-01,3.194348e-01,-6.445297e-01,-8.491535e-03,3.688864e-03,-1.554441e-02,1.809261e-02
3.680,1.023799e-01,-4.920977e-02,6.019731e-02,-6.660579e-02,-2.207140e-01,3.031905e-01,-6.069360e-01,-8.829749e-03,3.136194e-03,-1.442093e-02,1.719777e-02
3.710,1.028301e-01,-4.947933e-02,6.028243e-02,-6.702127e-02,-2.236390e-01,2.869563e-01,-5.693478e-01,-9.099846e-03,2.557743e-03,-1.326660e-02,1.628963e-02
3.740,1.032508e-01,-4.975587e-02,6.034984e-02,-6.740159e-02,-2.258083e-01,2.707463e-01,-5.317654e-01,-9.296426e-03,1.955116e-03,-1.207899e-02,1.536711e-02
3.770,1.036400e-01,-5.003710e-02,6.039896e-02,-6.774586e-02,-2.271932e-01,2.545932e-01,-4.941885e-01,-9.413589e-03,1.337654e-03,-1.086624e-02,1.443885e-02
3.800,1.039960e-01,-5.032056e-02,6.042951e-02,-6.805351e-02,-2.277653e-01,2.385332e-01,-4.566173e-01,-9.447596e-03,7.169262e-04,-9.640816e-03,1.351726e-02
3.830,1.043175e-01,-5.060374e-02,6.044154e-02,-6.832434e-02,-2.275119e-01,2.225948e-01,-4.190518e-01,-9.398111e-03,1.024772e-04,-8.414172e-03,1.261480e-02
3.860,1.046035e-01,-5.088419e-02,6.043533e-02,-6.855844e-02,-2.264422e-01,2.067931e-01,-3.814918e-01,-9.268043e-03,-5.002781e-04,-7.193681e-03,1.174291e-02
3.890,1.048533e-01,-5.115955e-02,6.041125e-02,-6.875605e-02,-2.245826e-01,1.912202e-01,-3.440975e-01,-9.064267e-03,-1.093072e-03,-5.985868e-03,1.091725e-02
3.920,1.050666e-01,-5.142788e-02,6.036929e-02,-6.891819e-02,-2.220318e-01,1.768920e-01,-3.096593e-01,-8.799975e-03,-1.688521e-03,-4.840277e-03,1.018425e-02
3.950,1.052447e-01,-5.168724e-02,6.031020e-02,-6.904743e-02,-2.188545e-01,1.638262e-01,-2.784437e-01,-8.471069e-03,-2.231422e-03,-3.797919e-03,9.547902e-03
3.980,1.053899e-01,-5.193592e-02,6.023589e-02,-6.914715e-02,-2.151055e-01,1.521814e-01,-2.504379e-01,-8.092441e-03,-2.702972e-03,-2.874505e-03,9.003135e-03
4.010,1.055053e-01,-5.217262e-02,6.014857e-02,-6.922098e-02,-2.109064e-01,1.419906e-01,-2.256257e-01,-7.676254e-03,-3.100718e-03,-2.072328e-03,8.534276e-03
4.040,1.055941e-01,-5.239638e-02,6.005038e-02,-6.927248e-02,-2.063788e-01,1.332176e-01,-2.039219e-01,-7.233129e-03,-3.430297e-03,-1.384717e-03,8.124194e-03
4.070,1.056589e-01,-5.260655e-02,5.994324e-02,-6.930492e-02,-2.016264e-01,1.257774e-01,-1.851491e-01,-6.772407e-03,-3.701000e-03,-7.999460e-04,7.759047e-03
4.100,1.057025e-01,-5.280269e-02,5.982874e-02,-6.932118e-02,-1.967309e-01,1.195429e-01,-1.690496e-01,-6.301109e-03,-3.922401e-03,-3.046263e-04,7.428459e-03
4.130,1.057271e-01,-5.298459e-02,5.970826e-02,-6.932374e-02,-1.917537e-01,1.143734e-01,-1.553210e-01,-5.823854e-03,-4.102391e-03,1.145883e-04,7.124606e-03
4.160,1.057346e-01,-5.315211e-02,5.958293e-02,-6.931471e-02,-1.867383e-01,1.101311e-01,-1.436501e-01,-5.343751e-03,-4.247457e-03,4.699399e-04,6.842325e-03
4.190,1.057265e-01,-5.330518e-02,5.945371e-02,-6.929583e-02,-1.817128e-01,1.066858e-01,-1.337321e-01,-4.862077e-03,-4.363443e-03,7.729780e-04,6.578520e-03
4.220,1.057043e-01,-5.344379e-02,5.932139e-02,-6.926851e-02,-1.766892e-01,1.039164e-01,-1.252770e-01,-4.379435e-03,-4.455148e-03,1.033639e-03,6.332156e-03
4.250,1.056689e-01,-5.356790e-02,5.918665e-02,-6.923392e-02,-1.716738e-01,1.017219e-01,-1.180424e-01,-3.896981e-03,-4.526017e-03,1.258980e-03,6.103796e-03
4.280,1.056213e-01,-5.367755e-02,5.905007e-02,-6.919302e-02,-1.666746e-01,1.000173e-01,-1.118344e-01,-3.415938e-03,-4.578746e-03,1.454074e-03,5.894733e-03
4.310,1.055624e-01,-5.377280e-02,5.891215e-02,-6.914668e-02,-1.617022e-01,9.873115e-02,-1.065009e-01,-2.937681e-03,-4.615655e-03,1.622663e-03,5.706775e-03
4.340,1.054928e-01,-5.385376e-02,5.877335e-02,-6.909564e-02,-1.567697e-01,9.780250e-02,-1.019232e-01,-2.463821e-03,-4.638878e-03,1.767639e-03,5.542035e-03
4.370,1.054134e-01,-5.392059e-02,5.863403e-02,-6.904057e-02,-1.518922e-01,9.717870e-02,-9.800669e-02,-1.996185e-03,-4.650419e-03,1.891385e-03,5.402637e-03
4.400,1.053246e-01,-5.397350e-02,5.849452e-02,-6.898208e-02,-1.470867e-01,9.681343e-02,-9.467412e-02,-1.536728e-03,-4.652157e-03,1.996010e-03,5.290384e-03
4.430,1.052272e-01,-5.401278e-02,5.835509e-02,-6.892072e-02,-1.423708e-01,9.666540e-02,-9.185908e-02,-1.087436e-03,-4.645821e-03,2.083484e-03,5.206446e-03
4.460,1.051217e-01,-5.403874e-02,5.821595e-02,-6.885696e-02,-1.377622e-01,9.669755e-02,-8.950217e-02,-6.502219e-04,-4.632968e-03,2.155700e-03,5.151138e-03
4.490,1.050086e-01,-5.405180e-02,5.807728e-02,-6.879124e-02,-1.332781e-01,9.687657e-02,-8.754862e-02,-2.268436e-04,-4.614975e-03,2.214485e-03,5.123806e-03
4.520,1.048885e-01,-5.405237e-02,5.793921e-02,-6.872395e-02,-1.289340e-01,9.717268e-02,-8.594724e-02,1.811545e-04,-4.593039e-03,2.261588e-03,5.122852e-03
4.550,1.047618e-01,-5.404096e-02,5.780185e-02,-6.865539e-02,-1.247440e-01,9.755944e-02,-8.465016e-02,5.724809e-04,-4.568193e-03,2.298658e-03,5.145868e-03
4.580,1.046291e-01,-5.401806e-02,5.766526e-02,-6.858585e-02,-1.207196e-01,9.801367e-02,-8.361295e-02,9.461145e-04,-4.541317e-03,2.327222e-03,5.189860e-03
4.610,1.044908e-01,-5.398423e-02,5.752951e-02,-6.851557e-02,-1.168701e-01,9.851523e-02,-8.279491e-02,1.301307e-03,-4.513155e-03,2.348673e-03,5.251498e-03
4.640,1.043473e-01,-5.394003e-02,5.739461e-02,-6.844473e-02,-1.132022e-01,9.904686e-02,-8.215923e-02,1.637575e-03,-4.484335e-03,2.364261e-03,5.327349e-03
4.670,1.041989e-01,-5.388602e-02,5.726058e-02,-6.837350e-02,-1.097203e-01,9.959396e-02,-8.167310e-02,1.954678e-03,-4.455383e-03,2.375094e-03,5.414081e-03
4.700,1.040461e-01,-5.382279e-02,5.712742e-02,-6.830201e-02,-1.064266e-01,1.001443e-01,-8.130764e-02,2.252601e-03,-4.426729e-03,2.382140e-03,5.508605e-03
4.730,1.038893e-01,-5.375091e-02,5.699510e-02,-6.823035e-02,-1.033210e-01,1.006880e-01,-8.103774e-02,2.531524e-03,-4.398726e-03,2.386234e-03,5.608165e-03
4.760,1.037287e-01,-5.367094e-02,5.686362e-02,-6.815861e-02,-1.004017e-01,1.012168e-01,-8.084184e-02,2.791797e-03,-4.371650e-03,2.388091e-03,5.710380e-03
4.790,1.035646e-01,-5.358344e-02,5.673293e-02,-6.808684e-02,-9.766541e-02,1.017243e-01,-8.070164e-02,3.033914e-03,-4.345718e-03,2.388311e-03,5.813254e-03
4.820,1.033974e-01,-5.348894e-02,5.660299e-02,-6.801508e-02,-9.510727e-02,1.022057e-01,-8.060188e-02,3.258483e-03,-4.321087e-03,2.387390e-03,5.915161e-03
4.850,1.032272e-01,-5.338795e-02,5.647378e-02,-6.794336e-02,-9.272149e-02,1.026574e-01,-8.052996e-02,3.466205e-03,-4.297867e-03,2.385735e-03,6.014812e-03
4.880,1.030544e-01,-5.328098e-02,5.634524e-02,-6.787169e-02,-9.050137e-02,1.030770e-01,-8.047572e-02,3.657850e-03,-4.276126e-03,2.383667e-03,6.111218e-03
4.910,1.028792e-01,-5.316849e-02,5.621733e-02,-6.780010e-02,-8.843953e-02,1.034630e-01,-8.043111e-02,3.834237e-03,-4.255894e-03,2.381441e-03,6.203649e-03
4.940,1.027017e-01,-5.305093e-02,5.609000e-02,-6.772857e-02,-8.652813e-02,1.038148e-01,-8.038993e-02,3.996216e-03,-4.237170e-03,2.379246e-03,6.291595e-03
4.970,1.025223e-01,-5.292871e-02,5.596322e-02,-6.765710e-02,-8.475903e-02,1.041324e-01,-8.034758e-02,4.144653e-03,-4.219930e-03,2.377224e-03,6.374728e-03
5.000,1.023409e-01,-5.280223e-02,5.583692e-02,-6.758570e-02,-8.312391e-02,1.044165e-01,-8.030078e-02,4.280416e-03,-4.204124e-03,2.375469e-03,6.452866e-03
5.030,1.021579e-01,-5.267186e-02,5.571109e-02,-6.751434e-02,-8.161440e-02,1.046683e-01,-8.024737e-02,4.404365e-03,-4.189690e-03,2.374041e-03,6.525949e-03
5.060,1.019733e-01,-5.253794e-02,5.558566e-02,-6.744302e-02,-8.022222e-02,1.048893e-01,-8.018610e-02,4.517340e-03,-4.176551e-03,2.372973e-03,6.594008e-03
5.090,1.017874e-01,-5.240078e-02,5.546061e-02,-6.737172e-02,-7.893922e-02,1.050811e-01,-8.011643e-02,4.620159e-03,-4.164620e-03,2.372273e-03,6.657147e-03
5.120,1.016002e-01,-5.226068e-02,5.533590e-02,-6.730045e-02,-7.775748e-02,1.052458e-01,-8.003841e-02,4.713607e-03,-4.153805e-03,2.371932e-03,6.715522e-03
5.150,1.014118e-01,-5.211791e-02,5.521150e-02,-6.722918e-02,-7.666936e-02,1.053854e-01,-7.995248e-02,4.798433e-03,-4.144011e-03,2.371929e-03,6.769330e-03
5.180,1.012224e-01,-5.197272e-02,5.508738e-02,-6.715790e-02,-7.566755e-02,1.055022e-01,-7.985942e-02,4.875351e-03,-4.135143e-03,2.372232e-03,6.818793e-03
5.210,1.010320e-01,-5.182532e-02,5.496351e-02,-6.708661e-02,-7.474508e-02,1.055981e-01,-7.976020e-02,4.945030e-03,-4.127106e-03,2.372804e-03,6.864148e-03
5.240,1.008408e-01,-5.167594e-02,5.483988e-02,-6.701531e-02,-7.389541e-02,1.056754e-01,-7.965592e-02,5.008098e-03,-4.119811e-03,2.373606e-03,6.905642e-03
5.270,1.006488e-01,-5.152476e-02,5.471645e-02,-6.694397e-02,-7.311233e-02,1.057360e-01,-7.954774e-02,5.065142e-03,-4.113170e-03,2.374593e-03,6.943524e-03
5.300,1.004562e-01,-5.137195e-02,5.459321e-02,-6.687261e-02,-7.239010e-02,1.057819e-01,-7.943683e-02,5.116706e-03,-4.107103e-03,2.375726e-03,6.978041e-03
5.330,1.002629e-01,-5.121767e-02,5.447014e-02,-6.680121e-02,-7.172333e-02,1.058149e-01,-7.932432e-02,5.163292e-03,-4.101536e-03,2.376962e-03,7.009431e-03
5.360,1.000691e-01,-5.106206e-02,5.434724e-02,-6.672977e-02,-7.110706e-02,1.058367e-01,-7.921127e-02,5.205360e-03,-4.096400e-03,2.378265e-03,7.037927e-03
5.390,9.987476e-02,-5.090525e-02,5.422448e-02,-6.665829e-02,-7.053670e-02,1.058488e-01,-7.909867e-02,5.243335e-03,-4.091634e-03,2.379600e-03,7.063748e-03
5.420,9.968001e-02,-5.074736e-02,5.410186e-02,-6.658677e-02,-7.000806e-02,1.058525e-01,-7.898738e-02,5.277602e-03,-4.087184e-03,2.380936e-03,7.087101e-03
5.450,9.948489e-02,-5.058849e-02,5.397938e-02,-6.651522e-02,-6.951728e-02,1.058492e-01,-7.887816e-02,5.308511e-03,-4.083001e-03,2.382245e-03,7.108184e-03
5.480,9.928943e-02,-5.042875e-02,5.385701e-02,-6.644362e-02,-6.906086e-02,1.058398e-01,-7.877165e-02,5.336380e-03,-4.079043e-03,2.383504e-03,7.127176e-03
5.510,9.909368e-02,-5.026820e-02,5.373476e-02,-6.637199e-02,-6.863560e-02,1.058254e-01,-7.866838e-02,5.361496e-03,-4.075275e-03,2.384694e-03,7.144248e-03
5.540,9.889768e-02,-5.010695e-02,5.361262e-02,-6.630033e-02,-6.823864e-02,1.058068e-01,-7.856875e-02,5.384117e-03,-4.071666e-03,2.385800e-03,7.159555e-03
5.570,9.870148e-02,-4.994505e-02,5.349058e-02,-6.622863e-02,-6.786734e-02,1.057847e-01,-7.847309e-02,5.404477e-03,-4.068188e-03,2.386810e-03,7.173241e-03
5.600,9.850509e-02,-4.978256e-02,5.336865e-02,-6.615691e-02,-6.751938e-02,1.057597e-01,-7.838158e-02,5.422783e-03,-4.064822e-03,2.387715e-03,7.185439e-03
5.630,9.830856e-02,-4.961956e-02,5.324681e-02,-6.608516e-02,-6.719262e-02,1.057322e-01,-7.829435e-02,5.439221e-03,-4.061548e-03,2.388510e-03,7.196269e-03
5.660,9.811191e-02,-4.945609e-02,5.312508e-02,-6.601339e-02,-6.688518e-02,1.057028e-01,-7.821144e-02,5.453960e-03,-4.058353e-03,2.389192e-03,7.205841e-03
5.690,9.791517e-02,-4.929221e-02,5.300344e-02,-6.594160e-02,-6.659534e-02,1.056716e-01,-7.813281e-02,5.467148e-03,-4.055224e-03,2.389759e-03,7.214256e-03
5.720,9.714951e-02,-4.859592e-02,5.255863e-02,-6.568145e-02,-5.324076e-02,1.227496e-01,-9.097751e-02,6.441268e-03,-3.086318e-03,1.764098e-03,7.357128e-03
6.020,9.592240e-02,-4.648258e-02,5.219733e-02,-6.569563e-02,-2.442661e-02,2.026297e-01,-1.884344e-01,7.420735e-03,5.660524e-04,-1.986456e-03,7.702839e-03
6.320,9.628445e-02,-4.428093e-02,5.300975e-02,-6.708100e-02,-2.940839e-03,3.015726e-01,-3.329012e-01,7.221767e-03,4.862733e-03,-7.328251e-03,1.137995e-02
6.620,9.879422e-02,-4.221448e-02,5.519479e-02,-7.022656e-02,1.729507e-02,4.191202e-01,-5.102342e-01,6.636313e-03,9.732431e-03,-1.367500e-02,1.804900e-02
6.920,1.038414e-01,-4.032182e-02,5.891919e-02,-7.540370e-02,4.042036e-02,5.544406e-01,-7.154511e-01,6.092776e-03,1.512228e-02,-2.083297e-02,2.645407e-02
7.220,1.117273e-01,-3.856616e-02,6.431594e-02,-8.281968e-02,6.794059e-02,7.052813e-01,-9.437693e-01,5.730217e-03,2.090566e-02,-2.860365e-02,3.588943e-02
7.520,1.226898e-01,-3.689602e-02,7.148523e-02,-9.263548e-02,9.954904e-02,8.694476e-01,-1.191671e+00,5.517986e-03,2.694897e-02,-3.682210e-02,4.596262e-02
7.820,1.368794e-01,-3.527000e-02,8.047962e-02,-1.049525e-01,1.347183e-01,1.043922e+00,-1.454312e+00,5.454155e-03,3.309098e-02,-4.527708e-02,5.634514e-02
8.120,1.543351e-01,-3.364938e-02,9.129707e-02,-1.197993e-01,1.722666e-01,1.224433e+00,-1.725023e+00,5.514738e-03,3.911958e-02,-5.368442e-02,6.665412e-02
8.420,1.749643e-01,-3.199258e-02,1.038693e-01,-1.371137e-01,2.115142e-01,1.405633e+00,-1.994277e+00,5.758981e-03,4.479448e-02,-6.171504e-02,7.647521e-02
8.720,1.985286e-01,-3.022989e-02,1.180423e-01,-1.567347e-01,2.522687e-01,1.579670e+00,-2.245190e+00,6.326051e-03,4.978668e-02,-6.899080e-02,8.531391e-02
9.020,2.245541e-01,-2.822002e-02,1.335395e-01,-1.783126e-01,2.954811e-01,1.733594e+00,-2.454099e+00,7.519051e-03,5.358651e-02,-7.461898e-02,9.217398e-02
9.320,2.522597e-01,-2.576668e-02,1.499352e-01,-2.012224e-01,3.400503e-01,1.856913e+00,-2.603877e+00,9.300451e-03,5.583138e-02,-7.791781e-02,9.630590e-02
9.620,2.807986e-01,-2.276173e-02,1.667651e-01,-2.247647e-01,3.822258e-01,1.947599e+00,-2.696157e+00,1.122021e-02,5.652697e-02,-7.889923e-02,9.770507e-02
9.920,3.093310e-01,-1.922814e-02,1.835588e-01,-2.482380e-01,4.179748e-01,2.002429e+00,-2.731443e+00,1.286586e-02,5.562016e-02,-7.753604e-02,9.628587e-02
10.220,3.370287e-01,-1.529876e-02,1.998391e-01,-2.709587e-01,4.436678e-01,2.019714e+00,-2.713704e+00,1.389154e-02,5.311930e-02,-7.394358e-02,9.209934e-02
10.520,3.630903e-01,-1.119212e-02,2.151377e-01,-2.922757e-01,4.566560e-01,1.999267e+00,-2.648602e+00,1.410491e-02,4.913127e-02,-6.830259e-02,8.531163e-02
10.820,3.867842e-01,-7.155426e-03,2.290271e-01,-3.116045e-01,4.551829e-01,1.941007e+00,-2.541573e+00,1.341453e-02,4.373581e-02,-6.078647e-02,7.607737e-02
11.120,4.074994e-01,-3.484083e-03,2.411333e-01,-3.284789e-01,4.374294e-01,1.850999e+00,-2.409695e+00,1.167532e-02,3.726305e-02,-5.203577e-02,6.505820e-02
11.420,4.247757e-01,-4.701868e-04,2.511494e-01,-3.425758e-01,4.033030e-01,1.730003e+00,-2.252535e+00,9.030511e-03,2.980432e-02,-4.230143e-02,5.252865e-02
11.720,4.382341e-01,1.694090e-03,2.588160e-01,-3.536391e-01,3.567195e-01,1.581542e+00,-2.070618e+00,5.947845e-03,2.158154e-02,-3.177650e-02,3.887012e-02
12.020,4.475577e-01,2.920969e-03,2.639272e-01,-3.614441e-01,3.007909e-01,1.408998e+00,-1.865321e+00,2.775541e-03,1.279462e-02,-2.056980e-02,2.438284e-02
12.320,4.525340e-01,3.252309e-03,2.663657e-01,-3.658220e-01,2.394070e-01,1.218393e+00,-1.640032e+00,-1.852662e-04,3.742228e-03,-8.902416e-03,9.658758e-03
12.620,4.530673e-01,2.795012e-03,2.661019e-01,-3.666769e-01,1.780021e-01,1.017844e+00,-1.399311e+00,-2.554118e-03,-5.196318e-03,2.913617e-03,6.481852e-03
12.920,4.492399e-01,1.753960e-03,2.632357e-01,-3.640334e-01,1.204824e-01,8.168784e-01,-1.151345e+00,-4.234111e-03,-1.360794e-02,1.440557e-02,2.026387e-02
13.220,4.413511e-01,3.692665e-04,2.580068e-01,-3.580825e-01,7.321162e-02,6.290049e-01,-9.079572e-01,-4.967347e-03,-2.092895e-02,2.492445e-02,3.292300e-02
13.520,4.299730e-01,-1.099251e-03,2.508304e-01,-3.492272e-01,3.698195e-02,4.685887e-01,-6.859422e-01,-5.107128e-03,-2.660857e-02,3.373140e-02,4.326554e-02
13.820,4.159767e-01,-2.609993e-03,2.422629e-01,-3.381397e-01,7.932154e-03,3.474749e-01,-5.131496e-01,-5.257754e-03,-3.026243e-02,3.980141e-02,5.027535e-02
14.120,4.003947e-01,-4.101328e-03,2.329054e-01,-3.256596e-01,-9.408097e-03,2.660034e-01,-3.914620e-01,-5.013827e-03,-3.198911e-02,4.314666e-02,5.394512e-02
14.420,3.841558e-01,-5.454208e-03,2.232907e-01,-3.125495e-01,-1.538033e-02,2.197819e-01,-3.161706e-01,-4.378110e-03,-3.208498e-02,4.412937e-02,5.473587e-02
14.730,3.728015e-01,-6.211598e-03,2.166129e-01,-3.033500e-01,-7.454211e-03,2.165653e-01,-2.860344e-01,7.619090e-03,-3.733818e-02,4.303969e-02,5.748570e-02
14.760,3.710289e-01,-5.817357e-03,2.154207e-01,-3.020306e-01,-1.306936e-02,2.051510e-01,-2.931489e-01,1.313530e-02,-3.960547e-02,4.451247e-02,6.101220e-02
14.790,3.692875e-01,-5.521841e-03,2.142895e-01,-3.007038e-01,6.141248e-03,1.980802e-01,-2.879560e-01,6.101638e-03,-3.576683e-02,4.378313e-02,5.686351e-02
14.820,3.676294e-01,-5.416140e-03,2.132612e-01,-2.994022e-01,1.983015e-02,1.989458e-01,-2.849384e-01,1.241262e-03,-3.311254e-02,4.308403e-02,5.435269e-02
14.850,3.660197e-01,-5.420129e-03,2.122953e-01,-2.981137e-01,2.434074e-02,2.063995e-01,-2.866692e-01,-1.711048e-03,-3.129506e-02,4.286750e-02,5.310302e-02
14.880,3.644407e-01,-5.493883e-03,2.113791e-01,-2.968260e-01,2.361592e-02,2.230138e-01,-2.906886e-01,-3.238543e-03,-2.987663e-02,4.300195e-02,5.246207e-02
14.910,3.628796e-01,-5.591878e-03,2.104999e-01,-2.955336e-01,2.341988e-02,2.440012e-01,-2.953521e-01,-3.452128e-03,-2.877070e-02,4.312309e-02,5.195451e-02
14.940,3.613366e-01,-5.684829e-03,2.096521e-01,-2.942410e-01,2.616653e-02,2.663541e-01,-3.014887e-01,-2.988007e-03,-2.777853e-02,4.299841e-02,5.127805e-02
14.970,3.598159e-01,-5.759304e-03,2.088325e-01,-2.929561e-01,3.112663e-02,2.879144e-01,-3.103397e-01,-2.271825e-03,-2.688507e-02,4.262808e-02,5.044920e-02
