t_s,omega_s_x_dps,omega_s_y_dps,omega_s_z_dps,hw_x_Nms,hw_y_Nms,hw_z_Nms,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,tau_w_x_Nm,tau_w_y_Nm,tau_w_z_Nm
0.010,2.706960e-12,5.949187e-13,1.072825e-11,-2.319809e-16,-4.596853e-17,-9.352192e-16,1.461351e-14,3.295215e-15,6.009005e-14,8.479328e-16,1.189326e-15,1.942890e-16
0.210,-4.100109e-03,3.601931e-03,-1.092707e-03,-3.879511e-02,8.124363e-02,-3.989160e-02,-3.938036e-04,3.235088e-04,-1.305917e-04,-4.144067e-01,1.111207e+00,-4.853268e-01
0.410,-8.052130e-03,8.277550e-03,-2.254061e-03,-8.598456e-02,1.933104e-01,-8.226290e-02,-1.600188e-03,1.521419e-03,-4.780065e-04,-5.801752e-01,1.270799e+00,-4.378423e-01
0.610,-1.285120e-02,1.273881e-02,-3.053060e-03,-1.505092e-01,3.080654e-01,-1.187999e-01,-3.683684e-03,3.650548e-03,-1.015869e-03,-7.500628e-01,1.157310e+00,-4.037881e-01
0.810,-1.847101e-02,1.610247e-02,-3.562465e-03,-2.314015e-01,4.053260e-01,-1.517365e-01,-6.809286e-03,6.564348e-03,-1.680628e-03,-8.904395e-01,8.912674e-01,-3.878874e-01
1.010,-2.438117e-02,1.815267e-02,-4.071763e-03,-3.215653e-01,4.778014e-01,-1.868804e-01,-1.109686e-02,1.000979e-02,-2.439550e-03,-9.034181e-01,6.162117e-01,-4.645553e-01
1.210,-2.928917e-02,1.922348e-02,-5.167795e-03,-4.044848e-01,5.297194e-01,-2.368597e-01,-1.647913e-02,1.375304e-02,-3.350049e-03,-6.991340e-01,4.274077e-01,-6.964377e-01
1.410,-3.171420e-02,1.982740e-02,-7.491933e-03,-4.597275e-01,5.699433e-01,-3.164948e-01,-2.259703e-02,1.765160e-02,-4.598362e-03,-2.878035e-01,3.394205e-01,-1.060376e+00
1.610,-3.086099e-02,2.042791e-02,-1.141406e-02,-4.726116e-01,6.069018e-01,-4.341732e-01,-2.885535e-02,2.166214e-02,-6.474983e-03,2.164161e-01,3.320440e-01,-1.449755e+00
1.810,-2.704199e-02,2.134036e-02,-1.687126e-02,-4.410588e-01,6.462449e-01,-5.870192e-01,-3.461704e-02,2.582003e-02,-9.299298e-03,6.646782e-01,3.622876e-01,-1.745370e+00
2.010,-2.131553e-02,2.259126e-02,-2.341749e-02,-3.746926e-01,6.881614e-01,-7.627875e-01,-3.939735e-02,3.019605e-02,-1.333579e-02,9.577012e-01,3.580409e-01,-1.874422e+00
2.210,-1.471831e-02,2.390120e-02,-3.040958e-02,-2.875971e-01,7.269615e-01,-9.454817e-01,-4.293650e-02,3.483136e-02,-1.873468e-02,1.100591e+00,2.811275e-01,-1.838732e+00
2.410,-7.949776e-03,2.497764e-02,-3.718688e-02,-1.926585e-01,7.578589e-01,-1.121570e+00,-4.513506e-02,3.970555e-02,-2.551732e-02,1.082869e+00,1.841370e-01,-1.678311e+00
2.610,-2.206107e-03,2.543139e-02,-4.249803e-02,-1.094229e-01,7.775360e-01,-1.267706e+00,-4.607466e-02,4.474289e-02,-3.352911e-02,8.088814e-01,-2.039299e-03,-1.223802e+00
2.810,1.368823e-03,2.519321e-02,-4.512148e-02,-5.813371e-02,7.893877e-01,-1.363407e+00,-4.608943e-02,4.978078e-02,-4.232000e-02,3.509199e-01,7.226919e-02,-7.078350e-01
3.020,-1.204242e-03,2.227567e-02,-4.482181e-02,-3.732778e-02,7.885648e-01,-1.386810e+00,-4.590102e-02,5.250643e-02,-4.727927e-02,2.500000e+00,-2.479990e+00,2.195942e+00
3.200,-5.318091e-03,1.247023e-02,-3.282538e-02,-1.658420e-01,5.861828e-01,-1.207684e+00,-4.678361e-02,5.650215e-02,-5.530085e-02,-5.687799e-01,-1.933996e+00,2.500000e+00
3.400,-2.886110e-03,9.449785e-03,-2.622668e-02,-1.656416e-01,4.594285e-01,-9.578583e-01,-4.743807e-02,5.850570e-02,-6.097790e-02,-2.393096e-01,-1.100108e+00,2.488056e+00
3.600,-7.777825e-03,4.589505e-03,-1.740392e-02,-2.092141e-01,3.466020e-01,-7.071985e-01,-4.854090e-02,5.988905e-02,-6.533242e-02,-3.702317e-01,-1.090485e+00,2.500000e+00
3.800,-9.447596e-03,7.169262e-04,-9.640816e-03,-2.277653e-01,2.385332e-01,-4.566173e-01,-5.032056e-02,6.042951e-02,-6.805351e-02,-2.211542e-02,-1.065785e+00,2.500000e+00
4.000,-7.818476e-03,-2.976093e-03,-2.326519e-03,-2.123483e-01,1.452271e-01,-2.335450e-01,-5.209512e-02,6.017899e-02,-6.919903e-02,2.781115e-01,-6.778264e-01,1.651573e+00
4.200,-4.701249e-03,-4.396518e-03,8.641753e-04,-1.800377e-01,1.056930e-01,-1.307642e-01,-5.335299e-02,5.940991e-02,-6.928760e-02,3.332054e-01,-1.975102e-01,5.922465e-01
4.400,-1.536728e-03,-4.652157e-03,1.996010e-03,-1.470867e-01,9.681343e-02,-9.467412e-02,-5.397350e-02,5.849452e-02,-6.898208e-02,3.170787e-01,-1.816614e-02,2.090984e-01
4.600,1.184994e-03,-4.522644e-03,2.342233e-03,-1.181334e-01,9.834391e-02,-8.304559e-02,-5.399669e-02,5.757467e-02,-6.853906e-02,2.554665e-01,3.446250e-02,5.361370e-02
4.800,3.110687e-03,-4.337356e-03,2.388109e-03,-9.679316e-02,1.018879e-01,-8.066457e-02,-5.355269e-02,5.668953e-02,-6.806291e-02,1.734777e-01,3.373373e-02,6.607649e-03
5.000,4.280416e-03,-4.204124e-03,2.375469e-03,-8.312391e-02,1.044165e-01,-8.030078e-02,-5.280223e-02,5.583692e-02,-6.758570e-02,1.053011e-01,1.925511e-02,2.446605e-03
5.200,4.922568e-03,-4.129698e-03,2.372586e-03,-7.504417e-02,1.055683e-01,-7.979389e-02,-5.187469e-02,5.500478e-02,-6.711038e-02,6.072959e-02,7.446567e-03,5.819359e-03
5.400,5.255152e-03,-4.090118e-03,2.380047e-03,-7.035605e-02,1.058509e-01,-7.906139e-02,-5.085274e-02,5.418360e-02,-6.663446e-02,3.542609e-02,1.480490e-03,6.665788e-03
5.600,5.422783e-03,-4.064822e-03,2.387715e-03,-6.751938e-02,1.057597e-01,-7.838158e-02,-4.978256e-02,5.336865e-02,-6.615691e-02,2.203078e-02,-6.698276e-04,5.222338e-03
5.820,6.972182e-03,-1.853613e-03,6.634587e-04,-4.187649e-02,1.496642e-01,-1.192013e-01,-4.791867e-02,5.232163e-02,-6.556416e-02,1.604072e-01,5.449426e-01,-6.501799e-01
6.020,7.420735e-03,5.660524e-04,-1.986456e-03,-2.442661e-02,2.026297e-01,-1.884344e-01,-4.648258e-02,5.219733e-02,-6.569563e-02,1.521592e-01,6.344849e-01,-8.551456e-01
6.220,7.363746e-03,3.365431e-03,-5.422331e-03,-9.657711e-03,2.664529e-01,-2.806591e-01,-4.500535e-02,5.259422e-02,-6.643771e-02,1.163375e-01,7.477458e-01,-1.096649e+00
6.420,7.043841e-03,6.415461e-03,-9.332441e-03,3.691894e-03,3.385272e-01,-3.883670e-01,-4.357248e-02,5.357725e-02,-6.791962e-02,1.126266e-01,8.145523e-01,-1.223797e+00
6.620,6.636313e-03,9.732431e-03,-1.367500e-02,1.729507e-02,4.191202e-01,-5.102342e-01,-4.221448e-02,5.519479e-02,-7.022656e-02,1.240279e-01,8.957098e-01,-1.358791e+00
6.820,6.260409e-03,1.327972e-02,-1.837468e-02,3.230851e-02,5.075734e-01,-6.443651e-01,-4.093480e-02,5.749766e-02,-7.343821e-02,1.424957e-01,9.639615e-01,-1.468527e+00
7.020,5.949895e-03,1.700857e-02,-2.335844e-02,4.906687e-02,6.030140e-01,-7.890546e-01,-3.972426e-02,6.052652e-02,-7.761800e-02,1.660489e-01,1.021433e+00,-1.556869e+00
7.220,5.730217e-03,2.090566e-02,-2.860365e-02,6.794059e-02,7.052813e-01,-9.437693e-01,-3.856616e-02,6.431594e-02,-8.281968e-02,1.899352e-01,1.077264e+00,-1.641813e+00
7.420,5.573745e-03,2.491630e-02,-3.404628e-02,8.860348e-02,8.134413e-01,-1.107162e+00,-3.744566e-02,6.889439e-02,-8.908944e-02,2.093481e-01,1.119353e+00,-1.706839e+00
7.620,5.481362e-03,2.899503e-02,-3.962684e-02,1.109242e-01,9.266464e-01,-1.277873e+00,-3.635128e-02,7.427929e-02,-9.646002e-02,2.290045e-01,1.154068e+00,-1.757625e+00
7.820,5.454155e-03,3.309098e-02,-4.527708e-02,1.347183e-01,1.043922e+00,-1.454312e+00,-3.527000e-02,8.047962e-02,-1.049525e-01,2.441200e-01,1.174173e+00,-1.786661e+00
8.020,5.479302e-03,3.713428e-02,-5.090429e-02,1.595380e-01,1.163848e+00,-1.634314e+00,-3.419113e-02,8.749148e-02,-1.145712e-01,2.550390e-01,1.179351e+00,-1.791408e+00
8.220,5.569361e-03,4.106692e-02,-5.642214e-02,1.851758e-01,1.285133e+00,-1.815710e+00,-3.310392e-02,9.529849e-02,-1.253026e-01,2.641777e-01,1.169136e+00,-1.769755e+00
8.420,5.758981e-03,4.479448e-02,-6.171504e-02,2.115142e-01,1.405633e+00,-1.994277e+00,-3.199258e-02,1.038693e-01,-1.371137e-01,2.714941e-01,1.133897e+00,-1.707193e+00
8.620,6.078358e-03,4.822514e-02,-6.669201e-02,2.383963e-01,1.523140e+00,-2.164812e+00,-3.083627e-02,1.131541e-01,-1.499541e-01,2.806425e-01,1.068777e+00,-1.593414e+00
8.820,6.634351e-03,5.122116e-02,-7.111676e-02,2.663336e-01,1.634121e+00,-2.321206e+00,-2.959697e-02,1.230795e-01,-1.637362e-01,2.890276e-01,9.687320e-01,-1.416854e+00
9.020,7.519051e-03,5.358651e-02,-7.461898e-02,2.954811e-01,1.733594e+00,-2.454099e+00,-2.822002e-02,1.335395e-01,-1.783126e-01,3.013350e-01,8.105520e-01,-1.126756e+00
9.220,8.668221e-03,5.525662e-02,-7.707840e-02,3.252588e-01,1.819350e+00,-2.560482e+00,-2.664320e-02,1.443990e-01,-1.934813e-01,2.989590e-01,6.455633e-01,-8.325756e-01
9.420,9.947792e-03,5.623547e-02,-7.850251e-02,3.545850e-01,1.890904e+00,-2.640951e+00,-2.482775e-02,1.555196e-01,-2.090337e-01,2.833674e-01,4.811082e-01,-5.498771e-01
9.620,1.122021e-02,5.652697e-02,-7.889923e-02,3.822258e-01,1.947599e+00,-2.696157e+00,-2.276173e-02,1.667651e-01,-2.247647e-01,2.525836e-01,3.063348e-01,-2.645701e-01
9.820,1.236968e-02,5.609879e-02,-7.824017e-02,4.069799e-01,1.988133e+00,-2.725686e+00,-2.045864e-02,1.779946e-01,-2.404644e-01,2.107457e-01,1.278027e-01,1.418058e-02
10.020,1.329444e-02,5.497145e-02,-7.659464e-02,4.279003e-01,2.012675e+00,-2.731546e+00,-1.795279e-02,1.890661e-01,-2.559283e-01,1.596662e-01,-4.662713e-02,2.683709e-01
10.220,1.389154e-02,5.311930e-02,-7.394358e-02,4.436678e-01,2.019714e+00,-2.713704e+00,-1.529876e-02,1.998391e-01,-2.709587e-01,9.450261e-02,-2.366386e-01,5.297630e-01
10.420,1.412398e-02,5.061086e-02,-7.038724e-02,4.537520e-01,2.010059e+00,-2.674949e+00,-1.256593e-02,2.101737e-01,-2.853626e-01,2.986875e-02,-4.040505e-01,7.501645e-01
10.620,1.398546e-02,4.747982e-02,-6.598495e-02,4.579022e-01,1.983939e+00,-2.617009e+00,-9.825646e-03,2.199454e-01,-2.989679e-01,-3.929567e-02,-5.805612e-01,9.683990e-01
10.820,1.341453e-02,4.373581e-02,-6.078647e-02,4.551829e-01,1.941007e+00,-2.541573e+00,-7.155426e-03,2.290271e-01,-3.116045e-01,-1.186488e-01,-7.320236e-01,1.124278e+00
11.020,1.236322e-02,3.953854e-02,-5.508306e-02,4.451656e-01,1.884565e+00,-2.456397e+00,-4.648894e-03,2.373150e-01,-3.231482e-01,-1.903488e-01,-8.611327e-01,1.233205e+00
11.220,1.087063e-02,3.487384e-02,-4.888415e-02,4.276943e-01,1.813906e+00,-2.360079e+00,-2.393209e-03,2.447187e-01,-3.335002e-01,-2.720176e-01,-1.000278e+00,1.341546e+00
11.420,9.030511e-03,2.980432e-02,-4.230143e-02,4.033030e-01,1.730003e+00,-2.252535e+00,-4.701868e-04,2.511494e-01,-3.425758e-01,-3.316900e-01,-1.119141e+00,1.437243e+00
11.620,7.025629e-03,2.440551e-02,-3.537256e-02,3.737110e-01,1.634086e+00,-2.133962e+00,1.074570e-03,2.565354e-01,-3.503029e-01,-3.818671e-01,-1.226879e+00,1.525261e+00
11.820,4.860676e-03,1.869263e-02,-2.810252e-02,3.386685e-01,1.526266e+00,-2.004645e+00,2.207243e-03,2.608115e-01,-3.566125e-01,-4.249788e-01,-1.326992e+00,1.611008e+00
12.020,2.775541e-03,1.279462e-02,-2.056980e-02,3.007909e-01,1.408998e+00,-1.865321e+00,2.920969e-03,2.639272e-01,-3.614441e-01,-4.374424e-01,-1.393202e+00,1.683227e+00
12.220,7.720497e-04,6.774165e-03,-1.282877e-02,2.603807e-01,1.283611e+00,-1.717053e+00,3.238187e-03,2.658543e-01,-3.647514e-01,-4.628024e-01,-1.452881e+00,1.736725e+00
12.420,-1.064899e-03,7.241673e-04,-4.957340e-03,2.185426e-01,1.152081e+00,-1.561199e+00,3.177292e-03,2.665755e-01,-3.665001e-01,-4.556156e-01,-1.479292e+00,1.782813e+00
12.620,-2.554118e-03,-5.196318e-03,2.913617e-03,1.780021e-01,1.017844e+00,-1.399311e+00,2.795012e-03,2.661019e-01,-3.666769e-01,-4.315008e-01,-1.469148e+00,1.800097e+00
12.820,-3.768202e-03,-1.089462e-02,1.064653e-02,1.388441e-01,8.831609e-01,-1.234184e+00,2.153031e-03,2.644691e-01,-3.652956e-01,-4.059529e-01,-1.433881e+00,1.786413e+00
13.020,-4.593098e-03,-1.619955e-02,1.805654e-02,1.032774e-01,7.520535e-01,-1.068994e+00,1.316288e-03,2.617383e-01,-3.624020e-01,-3.542577e-01,-1.350102e+00,1.734781e+00
13.220,-4.967347e-03,-2.092895e-02,2.492445e-02,7.321162e-02,6.290049e-01,-9.079572e-01,3.692665e-04,2.580068e-01,-3.580825e-01,-2.852931e-01,-1.218766e+00,1.635286e+00
13.420,-5.037575e-03,-2.492613e-02,3.105492e-02,4.855074e-02,5.181924e-01,-7.556820e-01,-6.068784e-04,2.534074e-01,-3.524682e-01,-2.451717e-01,-1.057014e+00,1.502933e+00
13.620,-5.187895e-03,-2.805412e-02,3.607411e-02,2.613641e-02,4.236569e-01,-6.224528e-01,-1.598217e-03,2.480986e-01,-3.457372e-01,-2.161352e-01,-8.401528e-01,1.215758e+00
13.820,-5.257754e-03,-3.026243e-02,3.980141e-02,7.932154e-03,3.474749e-01,-5.131496e-01,-2.609993e-03,2.422629e-01,-3.381397e-01,-1.603579e-01,-6.276826e-01,9.376113e-01
14.020,-5.143530e-03,-3.161139e-02,4.231439e-02,-4.967164e-03,2.889764e-01,-4.265972e-01,-3.613870e-03,2.360776e-01,-3.299250e-01,-1.004044e-01,-4.271763e-01,6.745650e-01
14.220,-4.839821e-03,-3.218532e-02,4.371588e-02,-1.257360e-02,2.469584e-01,-3.614933e-01,-4.573132e-03,2.297055e-01,-3.213252e-01,-4.399014e-02,-2.454147e-01,4.322698e-01
14.420,-4.378110e-03,-3.208498e-02,4.412937e-02,-1.538033e-02,2.197819e-01,-3.161706e-01,-5.454208e-03,2.232907e-01,-3.125495e-01,5.133620e-03,-8.573520e-02,2.138616e-01
14.620,-3.802066e-03,-3.141254e-02,4.368665e-02,-1.408671e-02,2.057158e-01,-2.887765e-01,-6.231023e-03,2.169571e-01,-3.037814e-01,4.510035e-02,5.005897e-02,2.246235e-02
14.800,4.036990e-03,-3.465087e-02,4.347407e-02,1.195834e-02,1.975581e-01,-2.863851e-01,-5.469840e-03,2.139376e-01,-3.002674e-01,1.163473e+00,-1.024246e-01,3.113032e-01
15.000,-1.518058e-03,-2.609794e-02,4.213008e-02,3.695541e-02,3.074804e-01,-3.219681e-01,-5.811454e-03,2.080382e-01,-2.916845e-01,3.956548e-01,1.257230e+00,-8.299786e-01
15.200,1.143429e-03,-2.321804e-02,3.875565e-02,6.228163e-02,3.844514e-01,-4.206464e-01,-5.751918e-03,2.031583e-01,-2.836016e-01,1.177638e-01,4.834196e-01,-1.012972e+00
15.400,1.304121e-03,-2.175064e-02,3.548570e-02,6.499776e-02,4.204822e-01,-5.157489e-01,-5.456237e-03,1.986717e-01,-2.761809e-01,-3.558959e-02,2.828935e-01,-8.806204e-01
15.600,6.113514e-04,-2.077087e-02,3.281046e-02,5.848689e-02,4.425490e-01,-5.925433e-01,-5.237733e-03,1.944265e-01,-2.693633e-01,-7.482663e-02,1.838700e-01,-6.769580e-01
15.800,-2.402404e-05,-2.006850e-02,3.079529e-02,5.155205e-02,4.575063e-01,-6.500044e-01,-5.160862e-03,1.903465e-01,-2.630120e-01,-6.117356e-02,1.309642e-01,-5.005368e-01
16.000,-4.782224e-04,-1.953351e-02,2.928803e-02,4.627100e-02,4.681440e-01,-6.920521e-01,-5.194077e-03,1.863892e-01,-2.570104e-01,-4.494851e-02,9.476041e-02,-3.673869e-01
16.200,-8.032461e-04,-1.911833e-02,2.814658e-02,4.234006e-02,4.756352e-01,-7.227037e-01,-5.305338e-03,1.825263e-01,-2.512717e-01,-3.429502e-02,6.691489e-02,-2.695904e-01
16.400,-1.054754e-03,-1.879733e-02,2.727375e-02,3.922903e-02,4.806402e-01,-7.449214e-01,-5.474630e-03,1.787366e-01,-2.457332e-01,-2.787543e-02,4.477972e-02,-1.965406e-01
16.600,-1.257264e-03,-1.854946e-02,2.660305e-02,3.665599e-02,4.837110e-01,-7.607962e-01,-5.689920e-03,1.750035e-01,-2.403480e-01,-2.324087e-02,2.795630e-02,-1.413364e-01
16.800,-1.420344e-03,-1.835577e-02,2.608553e-02,3.450477e-02,4.853447e-01,-7.718765e-01,-5.942378e-03,1.713143e-01,-2.350810e-01,-1.935210e-02,1.570628e-02,-9.966137e-02
17.000,-1.548752e-03,-1.820081e-02,2.568332e-02,3.271887e-02,4.859489e-01,-7.793534e-01,-6.224519e-03,1.676597e-01,-2.299053e-01,-1.594523e-02,7.033986e-03,-6.848248e-02
17.200,-1.647172e-03,-1.807300e-02,2.536690e-02,3.124915e-02,4.858295e-01,-7.841486e-01,-6.529796e-03,1.640333e-01,-2.248011e-01,-1.304129e-02,9.619943e-04,-4.538309e-02
17.400,-1.720632e-03,-1.796414e-02,2.511375e-02,3.004407e-02,4.852049e-01,-7.869653e-01,-6.852659e-03,1.604304e-01,-2.197535e-01,-1.065088e-02,-3.279392e-03,-2.838728e-02
17.600,-1.773939e-03,-1.786850e-02,2.490699e-02,2.905387e-02,4.842278e-01,-7.883299e-01,-7.188567e-03,1.568480e-01,-2.147516e-01,-8.731068e-03,-6.243809e-03,-1.592685e-02
17.800,-1.811252e-03,-1.778209e-02,2.473420e-02,2.823503e-02,4.830048e-01,-7.886314e-01,-7.533887e-03,1.532837e-01,-2.097875e-01,-7.209036e-03,-8.315416e-03,-6.802920e-03
18.000,-1.835979e-03,-1.770213e-02,2.458626e-02,2.755157e-02,4.816107e-01,-7.881553e-01,-7.885753e-03,1.497360e-01,-2.048553e-01,-6.010533e-03,-9.761353e-03,-1.229402e-04
18.200,-5.023089e-03,-1.800176e-02,2.285950e-02,-2.141790e-03,4.660922e-01,-8.284611e-01,-8.499801e-03,1.445942e-01,-1.978178e-01,-1.313748e+00,-2.129057e-03,-1.784852e+00
18.400,-1.133938e-02,-1.797638e-02,1.968209e-02,-7.927006e-02,4.589999e-01,-9.318208e-01,-1.020608e-02,1.409993e-01,-1.936109e-01,-7.908663e-01,1.172993e-01,-1.262383e+00
18.600,-1.655987e-02,-1.705478e-02,1.666750e-02,-1.520734e-01,4.716419e-01,-1.035015e+00,-1.301687e-02,1.375002e-01,-1.900064e-01,-7.103494e-01,3.172046e-01,-1.252442e+00
18.800,-2.046394e-02,-1.523932e-02,1.369551e-02,-2.169535e-01,5.044237e-01,-1.137700e+00,-1.672794e-02,1.342789e-01,-1.869953e-01,-5.933271e-01,5.197566e-01,-1.244622e+00
19.000,-2.288165e-02,-1.255195e-02,1.060001e-02,-2.693971e-01,5.574358e-01,-1.240580e+00,-2.106278e-02,1.315112e-01,-1.845868e-01,-4.278213e-01,7.258569e-01,-1.239660e+00
19.200,-2.365139e-02,-8.987257e-03,7.230551e-03,-3.047511e-01,6.315760e-01,-1.344578e+00,-2.571040e-02,1.293702e-01,-1.828215e-01,-2.096434e-01,9.440582e-01,-1.232573e+00
19.400,-2.265528e-02,-4.575223e-03,3.481212e-03,-3.187702e-01,7.272176e-01,-1.450211e+00,-3.032975e-02,1.280283e-01,-1.817657e-01,4.833799e-02,1.160851e+00,-1.221347e+00
19.600,-1.988322e-02,5.400231e-04,-7.212989e-04,-3.083037e-01,8.423385e-01,-1.557625e+00,-3.456450e-02,1.276415e-01,-1.815024e-01,3.194524e-01,1.340468e+00,-1.214635e+00
19.800,-1.569847e-02,6.109208e-03,-5.469648e-03,-2.740544e-01,9.723277e-01,-1.668093e+00,-3.809045e-02,1.283253e-01,-1.821305e-01,5.468781e-01,1.458597e+00,-1.233547e+00
20.000,-1.096684e-02,1.180294e-02,-1.089352e-02,-2.225343e-01,1.110392e+00,-1.784953e+00,-4.070887e-02,1.301365e-01,-1.837715e-01,6.698547e-01,1.496050e+00,-1.300098e+00
20.200,-6.950052e-03,1.722868e-02,-1.713940e-02,-1.659508e-01,1.247882e+00,-1.913823e+00,-4.243993e-02,1.330594e-01,-1.865755e-01,6.449418e-01,1.433156e+00,-1.430554e+00
20.400,-4.953515e-03,2.190558e-02,-2.430901e-02,-1.195401e-01,1.373643e+00,-2.061437e+00,-4.356587e-02,1.369918e-01,-1.907186e-01,4.610075e-01,1.233703e+00,-1.628411e+00
20.600,-5.881701e-03,2.518604e-02,-3.234796e-02,-9.771982e-02,1.471982e+00,-2.233147e+00,-4.459319e-02,1.417211e-01,-1.963837e-01,1.455774e-01,8.350442e-01,-1.864420e+00
20.800,-9.439501e-03,2.642713e-02,-4.077360e-02,-1.056342e-01,1.525443e+00,-2.423867e+00,-4.609802e-02,1.468998e-01,-2.037053e-01,-1.590715e-01,2.595540e-01,-1.970537e+00
21.000,-1.402224e-02,2.554351e-02,-4.854160e-02,-1.344146e-01,1.527511e+00,-2.611019e+00,-4.845693e-02,1.520963e-01,-2.126616e-01,-2.970086e-01,-2.734930e-01,-1.748066e+00
21.200,-1.806168e-02,2.321559e-02,-5.454757e-02,-1.706018e-01,1.491481e+00,-2.767718e+00,-5.169618e-02,1.569492e-01,-2.230007e-01,-3.101988e-01,-5.870169e-01,-1.297192e+00
21.400,-1.919465e-02,2.023959e-02,-5.694010e-02,-1.902160e-01,1.435774e+00,-2.842927e+00,-5.547330e-02,1.612621e-01,-2.341828e-01,-5.393283e-02,-7.450471e-01,-3.127831e-01
21.600,-1.889537e-02,1.721582e-02,-5.672187e-02,-2.030235e-01,1.377561e+00,-2.868566e+00,-5.927562e-02,1.649622e-01,-2.455376e-01,-1.188502e-01,-6.312563e-01,-4.842217e-02
21.800,-1.958130e-02,1.481151e-02,-5.558081e-02,-2.294354e-01,1.333672e+00,-2.886429e+00,-6.311699e-02,1.681251e-01,-2.567472e-01,-2.391546e-01,-5.246054e-01,8.425999e-02
22.000,-2.046818e-02,1.238608e-02,-5.366179e-02,-2.609740e-01,1.288324e+00,-2.890205e+00,-6.712374e-02,1.708145e-01,-2.676462e-01,-2.829144e-01,-5.686808e-01,2.202990e-01
22.200,-2.174558e-02,9.767739e-03,-5.129483e-02,-2.988820e-01,1.237399e+00,-2.886628e+00,-7.134217e-02,1.730015e-01,-2.781106e-01,-3.612914e-01,-6.253190e-01,2.471107e-01
22.400,-2.375241e-02,6.965756e-03,-4.885983e-02,-3.466814e-01,1.181322e+00,-2.886429e+00,-7.588198e-02,1.746463e-01,-2.880897e-01,-4.877012e-01,-6.599279e-01,1.404952e-01
22.600,-2.659802e-02,4.109348e-03,-4.660516e-02,-4.066380e-01,1.122918e+00,-2.897487e+00,-8.091232e-02,1.757245e-01,-2.976024e-01,-5.970898e-01,-6.617056e-01,1.028998e-02
22.800,-2.969980e-02,1.348119e-03,-4.440642e-02,-4.740468e-01,1.064722e+00,-2.915192e+00,-8.654719e-02,1.762412e-01,-3.066765e-01,-6.273583e-01,-6.429892e-01,-1.738997e-02
23.000,-3.218082e-02,-1.232192e-03,-4.191896e-02,-5.398380e-01,1.007711e+00,-2.925988e+00,-9.274748e-02,1.762255e-01,-3.152886e-01,-5.499932e-01,-6.196623e-01,1.243551e-01
23.200,-3.337458e-02,-3.603958e-03,-3.882766e-02,-5.955063e-01,9.521024e-01,-2.916307e+00,-9.931268e-02,1.757167e-01,-3.233450e-01,-4.012896e-01,-5.938591e-01,3.862517e-01
23.400,-3.303960e-02,-5.761625e-03,-3.498977e-02,-6.364216e-01,8.981556e-01,-2.878907e+00,-1.059547e-01,1.747575e-01,-3.307067e-01,-2.272255e-01,-5.645225e-01,6.922166e-01
23.600,-3.122809e-02,-7.704339e-03,-3.040366e-02,-6.612376e-01,8.461955e-01,-2.812217e+00,-1.123713e-01,1.733910e-01,-3.372228e-01,-5.609441e-02,-5.322187e-01,9.929772e-01
23.800,-2.812075e-02,-9.435082e-03,-2.513977e-02,-6.703275e-01,7.964391e-01,-2.717674e+00,-1.182869e-01,1.716604e-01,-3.427504e-01,1.002136e-01,-4.985588e-01,1.267025e+00
24.000,-2.393975e-02,-1.095991e-02,-1.929688e-02,-6.647946e-01,7.490019e-01,-2.597919e+00,-1.234665e-01,1.696079e-01,-3.471646e-01,2.371606e-01,-4.651710e-01,1.506075e+00
24.200,-1.891254e-02,-1.229123e-02,-1.298436e-02,-6.460375e-01,7.038428e-01,-2.456050e+00,-1.277209e-01,1.672740e-01,-3.503612e-01,3.538150e-01,-4.336415e-01,1.707782e+00
24.400,-1.325746e-02,-1.344598e-02,-6.313582e-03,-6.155679e-01,6.608120e-01,-2.295304e+00,-1.309048e-01,1.646960e-01,-3.522583e-01,4.503926e-01,-4.049753e-01,1.871921e+00
24.600,-7.178792e-03,-1.444397e-02,6.054487e-04,-5.749410e-01,6.196908e-01,-2.118931e+00,-1.329151e-01,1.619073e-01,-3.527962e-01,5.275628e-01,-3.796973e-01,1.999170e+00
24.800,-8.645872e-04,-1.530614e-02,7.666109e-03,-5.257216e-01,5.802276e-01,-1.930134e+00,-1.336877e-01,1.589374e-01,-3.519367e-01,5.862235e-01,-3.579428e-01,2.090717e+00
25.000,5.514460e-03,-1.605312e-02,1.476654e-02,-4.694612e-01,5.421677e-01,-1.732033e+00,-1.331940e-01,1.558112e-01,-3.496624e-01,6.274338e-01,-3.395555e-01,2.148117e+00
25.200,1.180578e-02,-1.670419e-02,2.181076e-02,-4.076768e-01,5.052740e-01,-1.527630e+00,-1.314374e-01,1.525496e-01,-3.459757e-01,6.523877e-01,-3.241805e-01,2.173220e+00
25.400,1.787539e-02,-1.727668e-02,2.870952e-02,-3.418325e-01,4.693411e-01,-1.319784e+00,-1.284500e-01,1.491697e-01,-3.408973e-01,6.623915e-01,-3.113443e-01,2.168107e+00
25.600,2.360794e-02,-1.778561e-02,3.538098e-02,-2.733232e-01,4.342027e-01,-1.111188e+00,-1.242881e-01,1.456853e-01,-3.344652e-01,6.588357e-01,-3.005203e-01,2.135035e+00
25.800,2.890655e-02,-1.824364e-02,4.175115e-02,-2.034607e-01,3.997340e-01,-9.043592e-01,-1.190294e-01,1.421072e-01,-3.267325e-01,6.431448e-01,-2.911838e-01,2.076364e+00
