t_s,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,Ltot_norm_Nms
41.510,7.809295e-04,6.083749e-04,-5.942866e-04,1.154620e-03
42.010,7.809296e-04,6.083747e-04,-5.942865e-04,1.154620e-03
42.510,7.809296e-04,6.083747e-04,-5.942865e-04,1.154620e-03
43.010,7.809296e-04,6.083747e-04,-5.942865e-04,1.154620e-03
43.510,7.807241e-04,6.084068e-04,-5.937982e-04,1.154247e-03
44.010,7.806047e-04,6.085362e-04,-5.933357e-04,1.153996e-03
44.510,7.804981e-04,6.086010e-04,-5.928844e-04,1.153726e-03
45.010,7.804756e-04,6.084747e-04,-5.927714e-04,1.153586e-03
45.510,7.804530e-04,6.083219e-04,-5.927457e-04,1.153477e-03
46.010,7.804428e-04,6.081199e-04,-5.929807e-04,1.153485e-03
46.510,7.804992e-04,6.080756e-04,-5.930873e-04,1.153554e-03
47.010,7.804518e-04,6.080103e-04,-5.930405e-04,1.153464e-03
47.510,7.804394e-04,6.079676e-04,-5.931089e-04,1.153468e-03
48.010,7.804441e-04,6.079348e-04,-5.932692e-04,1.153536e-03
48.510,7.804484e-04,6.079091e-04,-5.934076e-04,1.153597e-03
49.010,7.804531e-04,6.078952e-04,-5.934558e-04,1.153618e-03
49.510,7.804557e-04,6.078863e-04,-5.934858e-04,1.153630e-03
50.010,7.804560e-04,6.078777e-04,-5.935312e-04,1.153649e-03
50.510,7.804544e-04,6.078692e-04,-5.935869e-04,1.153672e-03
51.010,7.804509e-04,6.078619e-04,-5.936446e-04,1.153696e-03
51.510,7.804459e-04,6.078584e-04,-5.936809e-04,1.153709e-03
52.010,7.804427e-04,6.078638e-04,-5.936460e-04,1.153692e-03
52.510,7.804352e-04,6.078771e-04,-5.935598e-04,1.153649e-03
53.010,7.804327e-04,6.078880e-04,-5.934951e-04,1.153620e-03
53.510,1.207500e-03,1.906301e-04,-2.918074e-04,1.256801e-03
54.010,1.207692e-03,1.901475e-04,-2.920392e-04,1.256966e-03
54.510,1.207781e-03,1.900969e-04,-2.921264e-04,1.257064e-03
55.010,1.207846e-03,1.900866e-04,-2.921267e-04,1.257125e-03
55.510,1.207846e-03,1.900788e-04,-2.919961e-04,1.257093e-03
56.010,1.207852e-03,1.900522e-04,-2.920092e-04,1.257098e-03
56.510,1.207858e-03,1.900479e-04,-2.919244e-04,1.257083e-03
57.010,1.207863e-03,1.900453e-04,-2.918372e-04,1.257068e-03
57.510,1.207871e-03,1.900655e-04,-2.917619e-04,1.257061e-03
58.010,1.207882e-03,1.901162e-04,-2.916986e-04,1.257064e-03
58.510,1.207897e-03,1.901892e-04,-2.916414e-04,1.257076e-03
59.010,1.207914e-03,1.902762e-04,-2.915784e-04,1.257091e-03
59.510,1.207926e-03,1.903729e-04,-2.914910e-04,1.257098e-03
60.010,1.207927e-03,1.904760e-04,-2.913774e-04,1.257088e-03
60.510,1.207928e-03,1.905493e-04,-2.912940e-04,1.257080e-03
61.010,1.207928e-03,1.905925e-04,-2.912236e-04,1.257071e-03
61.510,1.207928e-03,1.906084e-04,-2.911500e-04,1.257056e-03
62.010,1.207925e-03,1.905997e-04,-2.910661e-04,1.257032e-03
62.510,1.207919e-03,1.905753e-04,-2.909630e-04,1.256999e-03
63.010,1.207913e-03,1.905508e-04,-2.908099e-04,1.256955e-03
63.510,1.207899e-03,1.905006e-04,-2.906806e-04,1.256903e-03
64.010,1.207884e-03,1.904568e-04,-2.906372e-04,1.256872e-03
64.510,1.160249e-03,7.770592e-04,-5.301025e-04,1.493656e-03
65.010,1.247194e-03,5.567894e-04,-5.517881e-04,1.473084e-03
65.510,1.247189e-03,5.567750e-04,-5.518061e-04,1.473081e-03
66.010,1.247186e-03,5.567647e-04,-5.518226e-04,1.473081e-03
66.510,1.247180e-03,5.567386e-04,-5.518538e-04,1.473078e-03
67.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
67.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
68.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
68.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
69.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
69.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
70.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
70.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
71.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
71.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
72.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
72.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
73.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
73.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
