t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
1.090000,0.143003,0.454164,0.520031,0.028956
1.100000,0.150632,0.463246,0.522799,0.029034
1.110000,0.158481,0.472399,0.525522,0.029108
1.120000,0.166546,0.481620,0.528198,0.029180
1.130000,0.174826,0.490910,0.530829,0.029248
1.140000,0.183319,0.500266,0.533413,0.029314
1.150000,0.192022,0.509688,0.535952,0.029377
1.160000,0.200934,0.519174,0.538443,0.029436
1.170000,0.210054,0.528724,0.540888,0.029493
1.180000,0.219380,0.538335,0.543287,0.029547
1.190000,0.228911,0.548008,0.545638,0.029597
1.200000,0.238645,0.557740,0.547943,0.029645
1.210000,0.248582,0.567531,0.550201,0.029691
1.220000,0.258720,0.577379,0.552411,0.029733
1.230000,0.269058,0.587283,0.554575,0.029772
1.240000,0.279595,0.597242,0.556691,0.029809
1.250000,0.290329,0.607255,0.558760,0.029843
1.260000,0.301260,0.617321,0.560781,0.029874
1.270000,0.312386,0.627438,0.562755,0.029902
1.280000,0.323707,0.637605,0.564682,0.029928
1.290000,0.335220,0.647821,0.566560,0.029951
1.300000,0.346925,0.658086,0.568392,0.029972
1.310000,0.358820,0.668396,0.570175,0.029989
1.320000,0.370904,0.678753,0.571911,0.030004
1.330000,0.383176,0.689153,0.573598,0.030017
1.340000,0.395634,0.699597,0.575238,0.030027
1.350000,0.408277,0.710083,0.576831,0.030035
1.360000,0.421103,0.720609,0.578375,0.030040
1.370000,0.434111,0.731175,0.579871,0.030042
1.380000,0.447299,0.741780,0.581319,0.030042
1.390000,0.460666,0.752422,0.582720,0.030040
1.400000,0.474210,0.763100,0.584072,0.030035
1.410000,0.487928,0.773814,0.585376,0.030028
1.420000,0.501821,0.784561,0.586632,0.030019
1.430000,0.515885,0.795341,0.587840,0.030008
1.440000,0.530119,0.806153,0.589000,0.029994
1.450000,0.544520,0.816995,0.590112,0.029978
1.460000,0.559088,0.827867,0.591176,0.029959
1.470000,0.573819,0.838768,0.592191,0.029939
1.480000,0.588713,0.849696,0.593158,0.029916
1.490000,0.603766,0.860650,0.594078,0.029891
1.500000,0.618976,0.871630,0.594948,0.029864
1.510000,0.634342,0.882634,0.595771,0.029836
1.520000,0.649862,0.893662,0.596546,0.029804
1.530000,0.665532,0.904712,0.597272,0.029771
1.540000,0.681351,0.915784,0.597950,0.029736
1.550000,0.697316,0.926876,0.598580,0.029699
1.560000,0.713425,0.937987,0.599161,0.029661
1.570000,0.729675,0.949118,0.599694,0.029620
1.580000,0.746064,0.960266,0.600180,0.029577
1.590000,0.762590,0.971431,0.600616,0.029532
1.600000,0.779249,0.982612,0.601005,0.029486
1.610000,0.796040,0.993808,0.601345,0.029438
1.620000,0.812959,1.005018,0.601637,0.029388
1.630000,0.830004,1.016243,0.601881,0.029336
1.640000,0.847172,1.027480,0.602077,0.029282
1.650000,0.864461,1.038729,0.602225,0.029227
1.660000,0.881867,1.049990,0.602324,0.029170
1.670000,0.899388,1.061261,0.602375,0.029111
1.680000,0.917020,1.072542,0.602379,0.029051
1.690000,0.934762,1.083833,0.602334,0.028989
1.700000,0.952610,1.095132,0.602241,0.028926
1.710000,0.970562,1.106440,0.602100,0.028861
1.720000,0.988613,1.117755,0.601912,0.028794
1.730000,1.006762,1.129077,0.601675,0.028726
1.740000,1.025005,1.140406,0.601391,0.028656
1.750000,1.043339,1.151741,0.601059,0.028585
1.760000,1.061761,1.163082,0.600679,0.028513
1.770000,1.080269,1.174427,0.600252,0.028439
1.780000,1.098858,1.185778,0.599777,0.028363
1.790000,1.117525,1.197133,0.599255,0.028287
1.800000,1.136269,1.208492,0.598685,0.028208
1.810000,1.155084,1.219855,0.598069,0.028129
1.820000,1.173969,1.231222,0.597405,0.028048
1.830000,1.192920,1.242592,0.596694,0.027966
1.840000,1.211933,1.253965,0.595936,0.027883
1.850000,1.231006,1.265341,0.595131,0.027798
1.860000,1.250135,1.276720,0.594280,0.027713
1.870000,1.269317,1.288102,0.593382,0.027626
1.880000,1.288549,1.299486,0.592437,0.027537
1.890000,1.307827,1.310873,0.591447,0.027448
1.900000,1.327147,1.322263,0.590410,0.027358
1.910000,1.346508,1.333656,0.589327,0.027266
1.920000,1.365905,1.345052,0.588198,0.027174
1.930000,1.385334,1.356451,0.587024,0.027080
1.940000,1.404794,1.367853,0.585804,0.026985
1.950000,1.424280,1.379259,0.584539,0.026889
1.960000,1.443788,1.390668,0.583228,0.026793
1.970000,1.463316,1.402082,0.581873,0.026695
1.980000,1.482861,1.413499,0.580473,0.026596
1.990000,1.502418,1.424922,0.579028,0.026496
2.000000,1.521985,1.436350,0.577538,0.026396
2.010000,1.541557,1.447784,0.576005,0.026294
2.020000,1.561133,1.459224,0.574427,0.026192
2.030000,1.580708,1.470670,0.572806,0.026088
2.040000,1.600279,1.482124,0.571141,0.025984
2.050000,1.619843,1.493587,0.569432,0.025879
2.060000,1.639396,1.505057,0.567681,0.025773
2.070000,1.658935,1.516538,0.565886,0.025667
2.080000,1.678457,1.528029,0.564049,0.025559
2.090000,1.697958,1.539531,0.562169,0.025451
2.100000,1.717435,1.551045,0.560247,0.025342
2.110000,1.736885,1.562572,0.558283,0.025232
2.120000,1.756305,1.574114,0.556278,0.025121
2.130000,1.775690,1.585670,0.554231,0.025010
2.140000,1.795039,1.597242,0.552143,0.024898
2.150000,1.814347,1.608832,0.550013,0.024785
2.160000,1.833611,1.620440,0.547844,0.024672
2.170000,1.852829,1.632068,0.545634,0.024558
2.180000,1.871996,1.643717,0.543384,0.024443
2.190000,1.891110,1.655389,0.541094,0.024327
2.200000,1.910168,1.667084,0.538765,0.024211
2.210000,1.929166,1.678805,0.536396,0.024094
2.220000,1.948101,1.690552,0.533989,0.023977
2.230000,1.966970,1.702327,0.531543,0.023859
2.240000,1.985770,1.714132,0.529059,0.023740
2.250000,2.004498,1.725969,0.526537,0.023621
2.260000,2.023150,1.737839,0.523978,0.023501
