t,phase,step_idx,mask_ss,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
2.710000,SS,0,1,-0.526102912,-1.922052997,1.265235079,0.255278816,-0.054575936,-0.983271248,0.732645164,-0.002097527,-0.000106810,0.000033087,0.001824295,0.173780233,b,2,2,3,1
2.810000,SS,0,1,-0.197034125,-1.922935287,0.237221672,0.238868519,0.335363366,-0.953081941,0.675673596,-0.001644433,-0.000022833,0.000362327,0.001858030,0.166495077,b,2,2,3,1
5.140000,SS,1,1,-0.145761798,-0.796192262,1.314524482,0.106477922,1.276651531,-1.973460918,0.007307641,-0.000048163,-0.000054248,-0.000038946,0.799877400,0.011579899,a,2,3,3,3
5.240000,SS,1,1,-0.142547899,-0.831493019,1.343679206,-0.044535942,1.309720743,-2.333664529,0.025804449,-0.000049693,0.000115494,0.000022552,0.799593073,0.023174998,a,2,3,3,3
5.340000,SS,1,1,-0.176869931,-0.735361199,1.107916046,0.195697888,1.052313639,-1.816452995,0.046260432,-0.000286808,0.000130449,0.000026964,0.799121973,0.029433689,a,2,3,3,3
5.440000,SS,1,1,-0.164330281,-0.711646805,0.969365659,0.320330953,0.957028491,-1.618500644,0.071204175,-0.000488789,0.000132136,0.000044919,0.798373584,0.035503954,a,2,3,3,3
5.540000,SS,1,1,-0.110943324,-0.726286016,0.931159068,0.326281398,1.051237356,-1.767513691,0.097339645,-0.000626486,0.000227483,0.000089104,0.797261771,0.039429491,a,2,3,3,3
5.640000,SS,1,1,-0.053859465,-0.726949367,0.879271811,0.353070596,1.104034681,-1.828922042,0.120789729,-0.000770339,0.000344047,0.000125857,0.795690382,0.037910551,a,2,3,3,3
5.740000,SS,1,1,0.010035914,-0.705854393,0.808555830,0.411238427,1.075774205,-1.742334651,0.139922276,-0.000948432,0.000441999,0.000149695,0.793566426,0.031375934,a,2,3,3,3
5.840000,SS,1,1,0.087116926,-0.700356423,0.791631487,0.458070303,1.060099822,-1.679566766,0.154467252,-0.001138533,0.000538584,0.000171118,0.790811940,0.022124379,a,2,3,3,3
5.940000,SS,1,1,0.172867962,-0.722944425,0.847951718,0.486661162,1.080697990,-1.684071454,0.164317103,-0.001329148,0.000647756,0.000192732,0.787363102,0.011705011,a,2,3,3,3
6.040000,SS,1,1,0.266386497,-0.735902872,0.910638055,0.508857775,1.090251960,-1.674223427,0.169471787,-0.001522073,0.000762953,0.000211075,0.783167170,0.001291806,a,2,3,3,3
6.140000,SS,1,1,0.365454740,-0.737110355,0.975122328,0.531236387,1.080170425,-1.632155750,0.170179145,-0.001722415,0.000875684,0.000224413,0.778181375,0.009795960,a,2,3,3,3
6.240000,SS,1,1,0.470285880,-0.729852483,1.045133016,0.547473109,1.063509674,-1.581376875,0.166955402,-0.001924679,0.000986589,0.000234236,0.772372556,0.019199243,a,2,3,3,3
6.340000,SS,1,1,0.575888279,-0.735837791,1.154643093,0.558584674,1.056524188,-1.549081630,0.160409459,-0.002129695,0.001097281,0.000240995,0.765715988,0.027033509,a,2,3,3,3
6.440000,SS,1,1,0.680524080,-0.751100152,1.293188938,0.564460053,1.053534237,-1.528091264,0.151306770,-0.002336238,0.001207454,0.000244444,0.758194456,0.033102318,a,2,3,3,3
6.540000,SS,1,1,0.785144156,-0.757469360,1.428415358,0.565523503,1.040512355,-1.494630609,0.140550792,-0.002542196,0.001315337,0.000244272,0.749798205,0.037425980,a,2,3,3,3
6.640000,SS,1,1,0.888177015,-0.755807786,1.559581362,0.562925040,1.019961738,-1.450510782,0.129224200,-0.002746868,0.001419072,0.000240337,0.740524200,0.040084534,a,2,3,3,3
6.740000,SS,1,1,0.988459235,-0.747739849,1.687226615,0.555642359,0.994880747,-1.401084648,0.118714265,-0.002948006,0.001518493,0.000232947,0.730375486,0.041209360,a,2,3,3,3
6.840000,SS,1,1,1.081778177,-0.750217127,1.837684817,0.545297732,0.976056904,-1.363970304,0.110734574,-0.003148049,0.001613905,0.000222250,0.719360468,0.040963626,a,2,3,3,3
6.940000,SS,1,1,1.167943101,-0.754549003,1.994109769,0.530777066,0.955927042,-1.329112225,0.107160327,-0.003344710,0.001705421,0.000208313,0.707492825,0.039561908,a,2,3,3,3
7.040000,SS,1,1,1.246600071,-0.752758756,2.141514945,0.512225679,0.925569574,-1.280170319,0.109349957,-0.003440138,0.001762671,0.000190280,0.694791463,0.037240688,a,2,3,3,3
7.140000,SS,1,1,1.316706980,-0.745966968,2.280672105,0.491178004,0.890122848,-1.222420319,0.117528282,-0.003419382,0.001780144,0.000169204,0.681279989,0.034190160,a,2,3,3,3
7.240000,SS,1,1,1.377717752,-0.735372080,2.412675749,0.467834730,0.852261229,-1.161984202,0.130799819,-0.003399451,0.001793644,0.000146508,0.666986326,0.030567700,a,2,3,3,3
7.340000,SS,1,1,1.427421577,-0.730054516,2.551380176,0.442878993,0.817951514,-1.108617687,0.147754857,-0.003382559,0.001804650,0.000122679,0.651942202,0.026498761,a,2,3,3,3
7.440000,SS,1,1,1.466074808,-0.723149800,2.684287807,0.415860103,0.781062029,-1.054148223,0.167023088,-0.003366495,0.001812832,0.000097460,0.636183166,0.022107212,a,2,3,3,3
7.540000,SS,1,1,1.493420195,-0.712644427,2.807001793,0.387931999,0.741307776,-0.996515548,0.187475101,-0.003350906,0.001817695,0.000070697,0.619748433,0.017502973,a,2,3,3,3
7.640000,SS,1,1,1.509406998,-0.698944984,2.919224669,0.359252370,0.699715090,-0.937232080,0.208253061,-0.003335828,0.001819547,0.000042568,0.602680504,0.012770536,a,2,3,3,3
7.740000,SS,1,1,1.514148249,-0.682351820,3.020664414,0.330086186,0.656907929,-0.877281036,0.228689933,-0.003321250,0.001818779,0.000013256,0.585024882,0.007986547,a,2,3,3,3
7.840000,SS,1,1,1.509198024,-0.663989071,3.113371759,0.299711027,0.614097891,-0.818590254,0.248255063,-0.003307966,0.001816453,-0.000016565,0.566829684,0.003266043,a,2,3,3,3
7.940000,SS,1,1,1.492951140,-0.642984123,3.194115445,0.269110142,0.569874381,-0.759723199,0.266512334,-0.003294977,0.001812223,-0.000047355,0.548145497,0.001999875,a,2,3,3,3
