t,phase,step_idx,mask_ss,theta_s_deg,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,torso_ref_mode,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
0.010000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,0.000000000,0.000000000,0.000000000,nan,0.000000000,,2,2,-1,0
0.020000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.030000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.040000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.050000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.060000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000003,,2,2,-1,0
0.070000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,-0.000000000,0.000000000,nan,0.000000010,,2,2,-1,0
0.080000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000001,0.000000000,0.000000000,0.000000000,nan,0.000000034,,2,2,-1,0
0.090000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000002,-0.000000000,-0.000000000,0.000000000,nan,0.000000121,,2,2,-1,0
0.100000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000008,0.000000000,0.000000000,-0.000000000,nan,0.000000420,,2,2,-1,0
0.110000,SS,0,1,0.000128219,0.457021375,-1.444435897,2.471731458,-0.568219432,1.300888689,-1.207989332,planner_track,0.007362972,0.000028487,0.000011180,0.000010022,0.799631983,0.003324384,b,2,2,3,1
0.210000,SS,0,1,0.000730027,0.614918816,-1.401036232,2.713567586,-0.757720211,1.919721594,-2.236836838,planner_track,0.010859025,0.000037698,0.000001689,0.000061840,0.797351422,0.005942962,b,2,2,3,1
0.310000,SS,0,1,0.002027602,0.708508232,-1.211985967,3.395899151,-0.960117894,2.430773520,-3.024939311,planner_track,0.011541418,-0.000079898,-0.000076499,0.000151297,0.791647862,0.009487155,b,2,2,3,1
0.410000,SS,0,1,0.004188940,0.739107640,-0.977820297,4.002067578,-1.115827624,2.802773261,-3.630282381,planner_track,0.011029045,-0.000391767,-0.000244989,0.000271886,0.781375357,0.016567478,b,2,2,3,1
0.510000,SS,0,1,0.007332802,0.700414780,-0.716818436,4.621604896,-1.192183320,3.019362748,-4.096177764,planner_track,0.009967072,-0.000932357,-0.000506841,0.000413361,0.765752477,0.027842533,b,2,2,3,1
0.610000,SS,0,1,0.011523642,0.597943958,-0.433693736,4.999971492,-1.207236986,3.098069150,-4.392261613,planner_track,0.009230447,-0.001710220,-0.000849511,0.000561962,0.744339328,0.041982464,b,2,2,3,1
0.710000,SS,0,1,0.016776486,0.436951084,-0.140859415,4.999992408,-1.167574669,3.054404376,-4.517835979,planner_track,0.009306504,-0.002714104,-0.001249171,0.000702035,0.717007914,0.057285875,b,2,2,3,1
